title,category,website,phone,review_count,review_rating,emails
LCT Studio,3D printing service,,+65 9082 3283,0,0,
Imagin3d.sg,3D printing service,,+65 9246 8702,0,0,
3d memory,3D printing service,https://3dmemory.com.sg/,+65 8917 1235,0,0,manager@3dmemory.com.sg
3d printing services JB & SG,3D printing service,https://www.facebook.com/3dprintJBSG,+60 18-269 3154,0,0,
The 3D Ministry,3D printing service,,+65 8166 0888,0,0,
VAE3D,3D printing service,,+65 8754 5407,0,0,
3drafts.studio,3D printing service,,,0,0,
Breado's 3D Models,3D printing service,,+65 9224 3182,0,0,
Aether Lab,3D printing service,,+65 6258 8887,0,0,
DHSVC,3D printing service,,+65 8225 5833,0,0,
3D Printing Service Online by Makenica.com,3D printing service,https://www.makenica.com/,,0,0,"support@makenica.com, sibghatt@makenica.ae"
3D Modelling,3D printing service,,+65 9667 3634,0,0,
DimensiFTL,3D printing service,http://shopee.my/fatalynx,+60 12-721 4031,3,5,"582bca07a010467e9836b96b9bd739e5@o468184.ingest.sentry.io, 330029e340266d72479a9e96074446a9@o468184.ingest.sentry.io, 8e34880fda96c4c846c607e3678bf0d6@o468184.ingest.us.sentry.io, 56a7b696ba91fac45734da10336f7870@o468184.ingest.sentry.io, 3a626cf85fcbe10f5075919686d6397f@o468184.ingest.sentry.io"
9SQM,3D printing service,http://www.9sqm.com/,+65 8138 8168,0,0,"lien@9sqm.com, info@9sqm.com"
ARKA PRINT,3D printing service,,+62 821-7266-6670,2,5,
Bigrep Asia Pacific,3D printing service,https://bigrep.com/,+65 6909 8191,2,5,
thyssenkrupp Additive Manufacturing TechCenter (Singapore/Asia Pacific),3D printing service,,+65 8722 6002,0,0,
EXPERT3D MALAYSIA,3D printing service,https://malaysia3dprinting.com/,,5,5,contact@additive3dasia.com
AppliedCHEMSG PTE LTD,3D printing service,http://www.appliedchemsg.com/,+65 9102 1217,1,5,
Wiztech 3D Engineering JB,3D printing service,,+60 12-758 0077,2,5,
Menasah 3D printing,3D printing service,,+60 18-325 0406,2,3,
M2,3D printing service,http://www.3d-printing-hub.asia/,+65 6303 0697,0,0,sg.tjmasia@gmail.com
PRINT 3D,3D printing service,,+65 9488 5603,4,4,
Addept3D Pte Ltd,3D printing service,http://www.addept3d.com/,+65 6978 7706,0,0,
Project 3Dimension,3D printing service,http://project3dimension.com/,,10,5,prj3dimension@gmail.com
Carnord Digital Solutions SG,3D printing service,http://www.linkedin.com/company/carnord-digital-solutions/,+65 8239 4683,0,0,
United Additive Manufacturing Pte Ltd.,3D printing service,http://www.uam3d.com/,+65 8125 7838,0,0,
ZELTA3D - 3D Printing Singapore,3D printing service,https://www.zelta3d.com/,+65 6259 3309,274,5,contact@zelta3d.com
Additive Inn - 3D Printing Services Singapore - 3D Designing Singapore,3D printing service,http://additiveinn.com/,+65 8923 2984,173,4.9,sale@additiveinn.com
qwensy3D,3D printing service,http://www.qwensy.com/,,59,5,
Think Design Make,3D printing service,http://tdm3d.tech/,+65 8952 6352,124,5,"605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, 98b21aa53d68482b8414e892d9af0e5f@sentry-next.wixpress.com, 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com"
Beyond Bynd,3D printing service,http://www.beyondbynd.com/,+65 9835 1610,10,5,
Creality 3D Printer Singapore,3D printing service,https://crealitysg.com/,+65 9683 8053,8,4.9,momo.gadgets.sg@gmail.com
Build It Full Pte. Ltd.,3D printing service,https://builditfull.com/,,40,5,
Hexar 3D,3D printing service,http://www.hexarcreations.com/,+65 8899 5260,3,5,
PrintGeekz,3D printing service,https://www.instagram.com/print.geekz/,+65 8804 6215,3,5,
FourierIndustries,3D printing service,https://fourier.industries/3dpservice.html,,3,5,hello@fourier.industries
3Dprinting.co,3D printing service,https://3dprinting-co.weeblysite.com/,+65 9445 5327,1,5,"shak222vel@gmail.com, 13e49d785d8d4f828038b6136f3b48ba@sentry.io"
3D Printing Werks,3D printing service,,+65 8872 7828,0,0,
slicerlabs,3D printing service,http://www.slicerlabs.com/,+65 8188 3267,2,5,slicerlabs@gmail.com
FourierIndustries,3D printing service,https://fourier.industries/3dpservice.html,,3,5,hello@fourier.industries
Snap3DPrints,3D printing service,,+65 9614 6466,0,0,
Hillview 3d Printing Service,3D printing service,,+65 9636 1250,0,0,
Trade Among Us,3D printing service,http://www.trade-among-us.com.sg/,+65 9368 0785,11,4.8,
3D-Printing-Hub.Asia,Architectural and engineering model maker,http://www.3d-printing-hub.asia/,+65 9431 6938,23,5,sg.tjmasia@gmail.com
3D Generation Pte Ltd,Architectural and engineering model maker,https://www.3dgeneration.sg/,+65 6493 2688,3,5,
Infinity Zap and Print Services,Commercial printer,http://www.izaps.sg/,+65 6547 4253,14,3.6,info@izaps.sg
Yung Shung Printrade Pte Ltd,Commercial printer,https://www.ysprint.com.sg/,+65 6297 1113,10,5,info@example.com
Volunex Pte Ltd,Commercial printer,,+65 6749 0065,2,5,
ELH Tech (Singapore) Pte Ltd,Corporate office,https://elh3d.com/,+65 9388 6658,3,3.7,sales.elh@elhtech.com.sg
"Fun Print Singapore | Live Event Printer & Printing | Tote Bag, Bottles, T-Shirt Live Printing",Digital printer,https://funprint.sg/,+65 8693 4657,10,5,
Tampines Printing,Digital printer,https://www.tpp.sg/,+65 6782 5655,167,3.5,"frontdesk@tpp.sg, print@tpp.sg"
Eazi Printing Pte Ltd,Digital printer,http://www.eazi.sg/,+65 6743 5296,11,4.2,enquiry@eazi.com.sg
3D Tectonix,Digital printer,,+65 9235 3908,1,1,
Ad Imaging Solutions - Digital Printing Services in Singapore,Digital printing service,http://www.adimaging.com.sg/,+65 6299 2728,16,4.8,sales@adimaging.com.sg
Kingly Pte Ltd,E-commerce service,https://www.kingly.sg/,+65 6871 4180,50,4.7,%20hello@kingly.sg
3D Print Singapore,E-commerce service,https://www.3dprintsingapore.com/,+65 8030 3500,32,4.8,
Siege Advanced Manufacturing,E-commerce service,http://www.siegeadvancedmanufacturing.com/,+65 9846 0876,48,4.6,
3 D PRINT HUB ASIA PTE. LTD.,E-commerce service,https://www.3dprinthubasia.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=13379249390382983527,+65 8160 9182,10,5,info@3dprinthubasia.com
Siege Advanced Manufacturing,E-commerce service,http://www.siegeadvancedmanufacturing.com/,+65 9846 0876,48,4.6,
"MakerSupplies Singapore (No walk-in purchases, delivery only)",Electronic parts supplier,https://www.makersupplies.sg/,,10,5,"contact@makersupplies.sg, sales@makersupplies.sg"
3D AURA Pte Ltd,Electronics store,http://www.3daura.com.sg/,+65 8290 4413,111,5,
3D FIGURINE ORIGINAL FOUNDER - UNUSUALLY CREATION,Gift shop,https://www.unusually.com.sg/,+65 9171 5659,0,0,
Make3D SG,Hobby store,http://www.make3d.sg/,+65 9151 0001,4,5,"enquiry@make3d.sg, 3dsales@egvisiononline.com"
Meka Innovation Pte Ltd (meka),Industrial design company,https://www.mekainnovation.com/,,13,4.7,"8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com, 1eeb89147c984dc6bc3ffafd9e6cd089@sentry.wixpress.com, 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com"
Chemtron Pte Ltd - 3D Printing Services in Singapore | Buy 3D Printer | 3D Printing Materials,Industrial equipment supplier,https://www.chemtron.asia/,+65 6273 7252,24,4.9,info@chemtron.asia
Creatz3D,Industrial equipment supplier,https://creatz3d.com.sg/,+65 6631 8555,22,4.9,"info@creatz3d.com, wordpress@example.com"
ECS (S) Pte ltd,Industrial equipment supplier,http://ecss.sg/,+65 6295 3566,24,4.3,enquiry@ecss.com.sg
eltelierworks,Manufacturer,,+65 8030 4909,0,0,
Structo,Manufacturer,http://www.structo3d.com/,+65 6514 7332,2,5,
Star3D Material Development Company (Singapore) Pte Ltd,Manufacturer,http://www.3d3dental.com/,+65 6974 1835,0,0,support@3d3dental.com
Additive3D Asia,Manufacturer,https://additive3dasia.com/,+65 6635 2265,47,5,contact@additive3Dasia.com
Spectrum Plastics Group,Medical technology manufacturer,https://www.spectrumplastics.com/locations/johor-malaysia/,,0,0,
Copier Rental PrintIQ,Photocopiers supplier,https://www.print-iq.com.sg/piq/copiersingapore/,+65 6100 7746,26,4.3,enquiry@print-iq.com.sg
Additive Flight Solutions,Plastic fabrication company,https://www.additiveflightsolutions.com/,+65 6513 4770,1,5,contact@additiveflightsolutions.com
"Along Arena Printing Services @ Level 1, Arked Meranti, UTM Skudai",Print shop,http://www.facebook.com/alongarenaEH,+60 13-707 2270,1,5,
Fatty Print,Print shop,http://www.fattyprint.com.sg/,+65 6100 1266,219,4.8,enquiry@fattyprint.com.sg
Innova Print Pte Ltd,Print shop,http://www.innovaprint.com.sg/,+65 6969 3440,16,4.5,
3D Hut Pte Ltd,Print shop,,+65 8777 3872,0,0,
Siang Heng Printing Services,Print shop,http://www.siangheng.com.sg/,+65 6744 6665,12,4.9,sales@siangheng.com.sg
Xorex Press (Dover MRT),Print shop,https://www.xp.com.sg/,+65 6781 0082,115,4.9,enquiry@xp.com.sg
Ann Print Shop,Print shop,https://meowprint.sg/blog/printing-services-bras-basah-complex-singapore/,+65 6337 9376,14,5,sales@meowprint.sg
Kencreate,Print shop,http://facebook.com/kencreateSG,+65 9488 5202,3,5,
Dura Chops Pte Ltd (North Bridge Centre #01-01),Print shop,http://www.durachop.com/,+65 6336 6808,38,4.7,"duranb@durachop.com, durafe@durachop.com, durahq@durachop.com"
Fast Cheetahs Quick Office Services Pte Ltd,Print shop,https://cheetahs.sg/,+65 6222 1738,23,4.2,cheetahs.sg@gmail.com
JHL Photocopy & Printing Services,Print shop,,+65 6456 4011,67,4.5,
AVS Printing Pte Ltd,Print shop,https://avs.sg/,+65 6742 4288,4,5,
3D Craft,Print shop,https://3dcraftsg.wixsite.com/3dcraft,+65 9296 4017,1,5,3dcraftsg@gmail.com
Xorex Press (West Coast Plaza),Print shop,http://www.xp.com.sg/,+65 6779 7989,73,3.3,
EASTWEST PRINTING (Printing Studio),Print shop,http://www.ewprinting.com/,+65 8204 2010,155,5,
Print Lab Pte Ltd | Your large format & offset printing expert,Print shop,http://www.printlab.com.sg/,+65 6749 0526,17,3.9,"enquiries@printlab.com.sg, marketing@printlab.com.sg"
Averising Print & Sign,Print shop,,+65 6908 0978,14,4.7,
MYSG PRINT,Print shop,http://www.mysgprint.com.sg/,+65 9297 8777,15,5,sales@mysgprint.com.sg
lenticular printer singapore,Print shop,,+65 9832 1536,0,0,
WXP Advertising,Print shop,https://www.whackoprint.sg/,+65 6320 3832,26,4.8,
Pisti Prints,Print shop,https://pistiprints.com/,+65 9183 5925,166,4.9,sales@pistiprints.com
USC Solutions Pte Ltd,Printing equipment and supplies,http://www.uscsolns.com/,+65 6278 3110,7,4.3,
iCreate.3D LLP,Printing equipment and supplies,http://www.icreate3dprint.com/,+65 9030 5133,2,5,
3D Bots,Printing equipment and supplies,http://www.3dbots.sg/,+65 6273 7252,0,0,"info@3dbots.com.sg, info@3dbots.sg"
Lim Sign,Sign shop,https://www.limsign.com.sg/,+65 6336 0443,27,4.6,sales@limsign.com.sg
Singapore Centre for 3D Printing,University,,,2,5,
