input_id,link,title,category,address,open_hours,popular_times,website,phone,plus_code,review_count,review_rating,reviews_per_rating,latitude,longitude,cid,status,descriptions,reviews_link,thumbnail,timezone,price_range,data_id,images,reservations,order_online,menu,owner,complete_address,about,user_reviews,emails
4dbfcd8b-38f8-4bf0-abe2-c9ba7051e6d5,https://www.google.com/maps/place/Monocure+3D/data=!4m7!3m6!1s0x6b12bc8cd5490a07:0x225b1de22017843c!8m2!3d-33.8812561!4d151.0244598!16s%2Fg%2F1w9y17y1!19sChIJBwpJ1Yy8EmsRPIQXIOIdWyI?authuser=0&hl=en&rclk=1,Monocure 3D,Manufacturer,"Unit 16/364 Park Rd, Regents Park NSW 2143, Australia","{""Friday"":[""10 am–2 pm""],""Monday"":[""Closed""],""Saturday"":[""Closed""],""Sunday"":[""Closed""],""Thursday"":[""10 am–2 pm""],""Tuesday"":[""10 am–2 pm""],""Wednesday"":[""10 am–2 pm""]}",{},https://monocure3d.com.au/,+61 2 9738 5340,"429F+FQ Regents Park, New South Wales, Australia",77,4.800000,"{""1"":3,""2"":0,""3"":0,""4"":1,""5"":73}",-33.881256,151.024460,2475605277208446012,Closed ⋅ Opens 10 am Tue,,https://search.google.com/local/reviews?placeid=ChIJBwpJ1Yy8EmsRPIQXIOIdWyI&q=Monocure+3D&authuser=0&hl=en&gl=PK,https://lh5.googleusercontent.com/p/AF1QipMwbGm1MInFZ8zBQXvxTFfXcWJWiGuMOF-clOQB=w426-h240-k-no,Australia/Sydney,,0x6b12bc8cd5490a07:0x225b1de22017843c,"[{""title"":""All"",""image"":""https://lh5.googleusercontent.com/p/AF1QipMwbGm1MInFZ8zBQXvxTFfXcWJWiGuMOF-clOQB=w529-h298-k-no""},{""title"":""Building"",""image"":""https://lh5.googleusercontent.com/p/AF1QipMdsJrqOiHjKn7-29K6qmknRAteVMoWtuNl2Ior=w447-h298-k-no""},{""title"":""By owner"",""image"":""https://lh5.googleusercontent.com/p/AF1QipNdnmBwLbxXx_Tkz0QxZ111RkC1YJxk40qZtrpY=w447-h298-k-no""},{""title"":""Street View \u0026 360°"",""image"":""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=B89lai9YY7VpfS9X7O82gg\u0026cb_client=maps_sv.tactile.gps\u0026w=224\u0026h=298\u0026yaw=95.86602\u0026pitch=0\u0026thumbfov=100""}]",null,null,"{""link"":"""",""source"":""""}","{""id"":""111819733196441903762"",""name"":""Monocure 3D (Owner)"",""link"":""https://www.google.com/maps/contrib/111819733196441903762""}","{""borough"":"""",""street"":""Unit 16/364 Park Rd"",""city"":""Regents Park"",""postal_code"":""2143"",""state"":""New South Wales"",""country"":""AU""}","[{""id"":""accessibility"",""name"":""Accessibility"",""options"":[{""name"":""Wheelchair-accessible car park"",""enabled"":true},{""name"":""Wheelchair-accessible entrance"",""enabled"":true},{""name"":""Wheelchair-accessible toilet"",""enabled"":true}]},{""id"":""crowd"",""name"":""Crowd"",""options"":[{""name"":""LGBTQ+ friendly"",""enabled"":true},{""name"":""Transgender safe space"",""enabled"":true}]},{""id"":""payments"",""name"":""Payments"",""options"":[{""name"":""Debit cards"",""enabled"":true},{""name"":""NFC mobile payments"",""enabled"":true},{""name"":""Credit cards"",""enabled"":false}]}]",null,
4dbfcd8b-38f8-4bf0-abe2-c9ba7051e6d5,https://www.google.com/maps/place/Kad+3D/data=!4m7!3m6!1s0x6ad6444338e136bd:0xdfed05f0691ee393!8m2!3d-37.7289509!4d145.0053566!16s%2Fg%2F11b6wmt6kq!19sChIJvTbhOENE1moRk-MeafAF7d8?authuser=0&hl=en&rclk=1,Kad 3D,3D printing service,"781 High St, Reservoir VIC 3073, Australia","{""Friday"":[""9 am–5 pm""],""Monday"":[""9 am–5 pm""],""Saturday"":[""Closed""],""Sunday"":[""Closed""],""Thursday"":[""9 am–5 pm""],""Tuesday"":[""9 am–5 pm""],""Wednesday"":[""9 am–5 pm""]}",{},http://www.kad3d.com.au/,+61 3 8400 8869,"72C4+C4 Reservoir, Victoria, Australia",279,4.900000,"{""1"":3,""2"":0,""3"":0,""4"":13,""5"":263}",-37.728951,145.005357,16135559570052277139,Closed ⋅ Opens 9 am Mon,,https://search.google.com/local/reviews?placeid=ChIJvTbhOENE1moRk-MeafAF7d8&q=Kad+3D&authuser=0&hl=en&gl=PK,https://lh5.googleusercontent.com/p/AF1QipOv4Ptg-vJziMuoSSoFI-970KhzCLS4wUHj3H1g=w408-h884-k-no,Australia/Melbourne,,0x6ad6444338e136bd:0xdfed05f0691ee393,"[{""title"":""All"",""image"":""https://lh5.googleusercontent.com/p/AF1QipOv4Ptg-vJziMuoSSoFI-970KhzCLS4wUHj3H1g=w224-h485-k-no""},{""title"":""By owner"",""image"":""https://lh5.googleusercontent.com/p/AF1QipNzlMQjatSFSgHNbA2ybwuiA0HqTqvSx4Gekj68=w397-h298-k-no""},{""title"":""Videos"",""image"":""https://lh5.googleusercontent.com/p/AF1QipOQvzVDAMtPbt3UpbSF5PJT-_MnHGtuPvv63PT_=w529-h298-k-no""},{""title"":""Street View \u0026 360°"",""image"":""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=82-GOrXYFlUWwGYNFYzwsg\u0026cb_client=maps_sv.tactile.gps\u0026w=224\u0026h=298\u0026yaw=266.98853\u0026pitch=0\u0026thumbfov=100""}]",null,"[{""link"":""https://www.kad3d.com.au/book-online"",""source"":""kad3d.com.au""}]","{""link"":"""",""source"":""""}","{""id"":""118266884930054550233"",""name"":""Kad 3D (Owner)"",""link"":""https://www.google.com/maps/contrib/118266884930054550233""}","{""borough"":"""",""street"":""781 High St"",""city"":""Reservoir"",""postal_code"":""3073"",""state"":""Victoria"",""country"":""AU""}",null,null,
4dbfcd8b-38f8-4bf0-abe2-c9ba7051e6d5,https://www.google.com/maps/place/E-Jet+3D+Printing/data=!4m7!3m6!1s0x2a32ae5ff849ecd9:0x7e98b137d90930a1!8m2!3d-31.8619991!4d115.8046452!16s%2Fg%2F11bx4bl7cw!19sChIJ2exJ-F-uMioRoTAJ2TexmH4?authuser=0&hl=en&rclk=1,E-Jet 3D Printing,Print shop,"​Corner Abrams and Stretton place Balcatta, Perth WA Our entry is down left of the Jays Doors Centre showroom, Balcatta WA 6021, Australia","{""Friday"":[""7:30 am–4:30 pm""],""Monday"":[""7:30 am–4:30 pm""],""Saturday"":[""Closed""],""Sunday"":[""Closed""],""Thursday"":[""7:30 am–4:30 pm""],""Tuesday"":[""7:30 am–4:30 pm""],""Wednesday"":[""7:30 am–4:30 pm""]}",{},http://www.ejet3dprinting.com/,+61 457 511 622,"4RQ3+6V Balcatta, Western Australia, Australia",27,4.600000,"{""1"":2,""2"":1,""3"":0,""4"":0,""5"":24}",-31.861999,115.804645,9122235898661515425,Closed ⋅ Opens 7:30 am Mon,,https://search.google.com/local/reviews?placeid=ChIJ2exJ-F-uMioRoTAJ2TexmH4&q=E-Jet+3D+Printing&authuser=0&hl=en&gl=PK,https://lh5.googleusercontent.com/p/AF1QipM2J2YICeS29d92TXx7kCYlsSs4IckV6H-cs_vS=w408-h408-k-no,Australia/Perth,,0x2a32ae5ff849ecd9:0x7e98b137d90930a1,"[{""title"":""All"",""image"":""https://lh5.googleusercontent.com/p/AF1QipM2J2YICeS29d92TXx7kCYlsSs4IckV6H-cs_vS=w298-h298-k-no""},{""title"":""Latest"",""image"":""https://lh5.googleusercontent.com/p/AF1QipNqb2sjhj9O96j0B2UQqOScrzVzHwVyuuGg0yJm=w476-h298-k-no""},{""title"":""By owner"",""image"":""https://lh5.googleusercontent.com/p/AF1QipP7QWICqNV5CXs_U5bbAVKrm-AEqqkY-91clVDX=w224-h336-k-no""}]",null,null,"{""link"":"""",""source"":""""}","{""id"":""105734587934120698673"",""name"":""E-Jet 3D Printing (Owner)"",""link"":""https://www.google.com/maps/contrib/105734587934120698673""}","{""borough"":"""",""street"":""​Corner Abrams and Stretton place Balcatta, Perth WA Our entry is down left of the Jays Doors Centre showroom"",""city"":""Balcatta"",""postal_code"":""6021"",""state"":""WA"",""country"":""AU""}","[{""id"":""service_options"",""name"":""Service options"",""options"":[{""name"":""Delivery"",""enabled"":true},{""name"":""In-store pick-up"",""enabled"":true},{""name"":""In-store shopping"",""enabled"":true},{""name"":""On-site services"",""enabled"":true},{""name"":""Same-day delivery"",""enabled"":true}]},{""id"":""accessibility"",""name"":""Accessibility"",""options"":[{""name"":""Wheelchair-accessible car park"",""enabled"":true}]},{""id"":""payments"",""name"":""Payments"",""options"":[{""name"":""Credit cards"",""enabled"":true},{""name"":""Debit cards"",""enabled"":true},{""name"":""NFC mobile payments"",""enabled"":true},{""name"":""Credit cards"",""enabled"":false}]}]",null,elliott@ejet3dprinting.com
4dbfcd8b-38f8-4bf0-abe2-c9ba7051e6d5,https://www.google.com/maps/place/Print-3D.com.au/data=!4m7!3m6!1s0x6b12b02e03f81d2f:0xee6e246cbff650d3!8m2!3d-33.8482439!4d150.9319747!16s%2Fg%2F12mkw96lj!19sChIJLx34Ay6wEmsR01D2v2wkbu4?authuser=0&hl=en&rclk=1,Print-3D.com.au,3D printing service,,"{""Friday"":[""8 am–7 pm""],""Monday"":[""8 am–7 pm""],""Saturday"":[""8 am–5 pm""],""Sunday"":[""Closed""],""Thursday"":[""8 am–7 pm""],""Tuesday"":[""8 am–7 pm""],""Wednesday"":[""8 am–7 pm""]}",{},https://print-3d.com.au/?utm_source=gmb&utm_medium=organic&utm_campaign=gmb,+61 402 023 377,,55,4.900000,"{""1"":1,""2"":1,""3"":0,""4"":0,""5"":53}",-33.848244,150.931975,17180709677960679635,Closed ⋅ Opens 8 am Mon,,https://search.google.com/local/reviews?placeid=ChIJLx34Ay6wEmsR01D2v2wkbu4&q=Print-3D.com.au&authuser=0&hl=en&gl=PK,https://lh5.googleusercontent.com/p/AF1QipPXBskdNB43-Nkm-5mkhK7j6pV6-sE9ZVyEg8Om=w408-h306-k-no,Australia/Sydney,,0x6b12b02e03f81d2f:0xee6e246cbff650d3,"[{""title"":""All"",""image"":""https://lh5.googleusercontent.com/p/AF1QipPXBskdNB43-Nkm-5mkhK7j6pV6-sE9ZVyEg8Om=w397-h298-k-no""},{""title"":""By owner"",""image"":""https://lh5.googleusercontent.com/p/AF1QipPXBskdNB43-Nkm-5mkhK7j6pV6-sE9ZVyEg8Om=w397-h298-k-no""}]",null,null,"{""link"":"""",""source"":""""}","{""id"":""112761506304812676934"",""name"":""Print-3D.com.au (Owner)"",""link"":""https://www.google.com/maps/contrib/112761506304812676934""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,
4dbfcd8b-38f8-4bf0-abe2-c9ba7051e6d5,https://www.google.com/maps/place/Objective3D/data=!4m7!3m6!1s0x6ad60cfb1cd4c3eb:0xf193e53829b2a0f9!8m2!3d-38.0959251!4d145.1728198!16s%2Fg%2F11b7xqsffj!19sChIJ68PUHPsM1moR-aCyKTjlk_E?authuser=0&hl=en&rclk=1,Objective3D,3D printing service,"33-35 Yazaki Way, Carrum Downs VIC 3201, Australia","{""Friday"":[""9 am–5 pm""],""Monday"":[""9 am–5 pm""],""Saturday"":[""Closed""],""Sunday"":[""Closed""],""Thursday"":[""9 am–5 pm""],""Tuesday"":[""9 am–5 pm""],""Wednesday"":[""9 am–5 pm""]}",{},http://www.objective3d.com.au/,+61 3 9785 2333,"W53F+J4 Carrum Downs, Victoria, Australia",15,4.900000,"{""1"":0,""2"":0,""3"":0,""4"":2,""5"":13}",-38.095925,145.172820,17407509014097600761,Closed ⋅ Opens 9 am Mon,,https://search.google.com/local/reviews?placeid=ChIJ68PUHPsM1moR-aCyKTjlk_E&q=Objective3D&authuser=0&hl=en&gl=PK,https://lh5.googleusercontent.com/p/AF1QipMfdpb9vTp5e1i7prJKQTDZhbg9OX4wzIUQEheA=w408-h306-k-no,Australia/Melbourne,,0x6ad60cfb1cd4c3eb:0xf193e53829b2a0f9,"[{""title"":""All"",""image"":""https://lh5.googleusercontent.com/p/AF1QipMfdpb9vTp5e1i7prJKQTDZhbg9OX4wzIUQEheA=w397-h298-k-no""},{""title"":""By owner"",""image"":""https://lh5.googleusercontent.com/p/AF1QipN1tRdUxQlsjqXFH0BZzfk27US2WinI44ysGUka=w397-h298-k-no""},{""title"":""Street View \u0026 360°"",""image"":""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=NKd1QmyOKdvlZJ4ZBpoTCg\u0026cb_client=maps_sv.tactile.gps\u0026w=224\u0026h=298\u0026yaw=298.85367\u0026pitch=0\u0026thumbfov=100""}]",null,null,"{""link"":"""",""source"":""""}","{""id"":""102089645185171696953"",""name"":""Objective3D (Owner)"",""link"":""https://www.google.com/maps/contrib/102089645185171696953""}","{""borough"":"""",""street"":""33-35 Yazaki Way"",""city"":""Carrum Downs"",""postal_code"":""3201"",""state"":""Victoria"",""country"":""AU""}","[{""id"":""accessibility"",""name"":""Accessibility"",""options"":[{""name"":""Wheelchair-accessible car park"",""enabled"":true},{""name"":""Wheelchair-accessible entrance"",""enabled"":true}]}]",null,enquiries@objective3d.com.au
4dbfcd8b-38f8-4bf0-abe2-c9ba7051e6d5,https://www.google.com/maps/place/Thinglab+%2F+Freedspace/data=!4m7!3m6!1s0x6ad65d88c2f15873:0xad34f73327bccb6c!8m2!3d-37.8201825!4d144.895266!16s%2Fg%2F1wc4832j!19sChIJc1jxwohd1moRbMu8JzP3NK0?authuser=0&hl=en&rclk=1,Thinglab / Freedspace,Industrial equipment supplier,"7A Kent St, Yarraville VIC 3013, Australia","{""Friday"":[""9 am–5 pm""],""Monday"":[""9 am–5 pm""],""Saturday"":[""Closed""],""Sunday"":[""Closed""],""Thursday"":[""9 am–5 pm""],""Tuesday"":[""9 am–5 pm""],""Wednesday"":[""9 am–5 pm""]}",{},https://freedspace.com.au/thinglab,+61 3 7018 2121,"5VHW+W4 Yarraville, Victoria, Australia",24,5.000000,"{""1"":0,""2"":0,""3"":0,""4"":1,""5"":23}",-37.820183,144.895266,12480872266432564076,Closed ⋅ Opens 9 am Mon,,https://search.google.com/local/reviews?placeid=ChIJc1jxwohd1moRbMu8JzP3NK0&q=Thinglab+/+Freedspace&authuser=0&hl=en&gl=PK,https://lh5.googleusercontent.com/p/AF1QipOf2-tnjGFToQIV3xor_AGcbXXtHgRJlUBdDyu9=w408-h306-k-no,Australia/Melbourne,,0x6ad65d88c2f15873:0xad34f73327bccb6c,"[{""title"":""All"",""image"":""https://lh5.googleusercontent.com/p/AF1QipOf2-tnjGFToQIV3xor_AGcbXXtHgRJlUBdDyu9=w397-h298-k-no""},{""title"":""By owner"",""image"":""https://lh5.googleusercontent.com/p/AF1QipM-N4fPGSJgepXTm75zFHWmw9De2qsYUxEzp63r=w448-h298-k-no""},{""title"":""Street View \u0026 360°"",""image"":""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=N-FJqT-392Sy5-SoVlG5Cg\u0026cb_client=maps_sv.tactile.gps\u0026w=224\u0026h=298\u0026yaw=193.71832\u0026pitch=0\u0026thumbfov=100""}]",null,null,"{""link"":"""",""source"":""""}","{""id"":""105891685168369344001"",""name"":""Thinglab / Freedspace (Owner)"",""link"":""https://www.google.com/maps/contrib/105891685168369344001""}","{""borough"":"""",""street"":""7A Kent St"",""city"":""Yarraville"",""postal_code"":""3013"",""state"":""Victoria"",""country"":""AU""}","[{""id"":""accessibility"",""name"":""Accessibility"",""options"":[{""name"":""Wheelchair-accessible car park"",""enabled"":true}]},{""id"":""payments"",""name"":""Payments"",""options"":[{""name"":""Credit cards"",""enabled"":true},{""name"":""Debit cards"",""enabled"":true},{""name"":""NFC mobile payments"",""enabled"":true}]}]",null,
4dbfcd8b-38f8-4bf0-abe2-c9ba7051e6d5,https://www.google.com/maps/place/Unique+Prints/data=!4m7!3m6!1s0x6ad66b8276c6a163:0x38085243c01b846c!8m2!3d-37.9415647!4d145.0626226!16s%2Fg%2F11jcf7yj08!19sChIJY6HGdoJr1moRbIQbwENSCDg?authuser=0&hl=en&rclk=1,Unique Prints,Printing equipment supplier,"15 Cochranes Rd, Moorabbin VIC 3189, Australia","{""Friday"":[""10 am–4 pm""],""Monday"":[""10 am–4 pm""],""Saturday"":[""Closed""],""Sunday"":[""Closed""],""Thursday"":[""10 am–4 pm""],""Tuesday"":[""10 am–4 pm""],""Wednesday"":[""10 am–4 pm""]}",{},https://uniqueprints.shop/?utm_source=local&utm_medium=organic&utm_campaign=gmb,+61 411 015 339,"3357+92 Moorabbin, Victoria, Australia",60,5.000000,"{""1"":0,""2"":0,""3"":0,""4"":0,""5"":60}",-37.941565,145.062623,4037567516876964972,Closed ⋅ Opens 10 am Mon,,https://search.google.com/local/reviews?placeid=ChIJY6HGdoJr1moRbIQbwENSCDg&q=Unique+Prints&authuser=0&hl=en&gl=PK,https://lh5.googleusercontent.com/p/AF1QipPs4pvQyd0bg4xYNV3nIL1LBmHecL8JGGn0eRiH=w408-h408-k-no,Australia/Melbourne,,0x6ad66b8276c6a163:0x38085243c01b846c,"[{""title"":""All"",""image"":""https://lh5.googleusercontent.com/p/AF1QipPs4pvQyd0bg4xYNV3nIL1LBmHecL8JGGn0eRiH=w298-h298-k-no""},{""title"":""By owner"",""image"":""https://lh5.googleusercontent.com/p/AF1QipPdNi_Jo1aek6xNHvAjGJBY2tMAEtlPff3PyXsS=w298-h298-k-no""},{""title"":""Street View \u0026 360°"",""image"":""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=-oCSTAJbI2vPmPcuQCcSQw\u0026cb_client=maps_sv.tactile.gps\u0026w=224\u0026h=298\u0026yaw=11.5736\u0026pitch=0\u0026thumbfov=100""}]",null,null,"{""link"":"""",""source"":""""}","{""id"":""117668803133761080310"",""name"":""Unique Prints (Owner)"",""link"":""https://www.google.com/maps/contrib/117668803133761080310""}","{""borough"":"""",""street"":""15 Cochranes Rd"",""city"":""Moorabbin"",""postal_code"":""3189"",""state"":""Victoria"",""country"":""AU""}","[{""id"":""service_options"",""name"":""Service options"",""options"":[{""name"":""On-site services"",""enabled"":true}]},{""id"":""accessibility"",""name"":""Accessibility"",""options"":[{""name"":""Wheelchair-accessible car park"",""enabled"":true},{""name"":""Wheelchair-accessible entrance"",""enabled"":true}]},{""id"":""recycling"",""name"":""Recycling"",""options"":[{""name"":""Ink cartridges"",""enabled"":true}]}]",null,sales@uniqueprints.shop
4dbfcd8b-38f8-4bf0-abe2-c9ba7051e6d5,https://www.google.com/maps/place/3D+Printer+Gear/data=!4m7!3m6!1s0x6ab8a55f52fe73bd:0xd4c76c0dcf1ce596!8m2!3d-37.7289509!4d145.0053566!16s%2Fg%2F11j6tzsgn0!19sChIJvXP-Ul-luGoRluUczw1sx9Q?authuser=0&hl=en&rclk=1,3D Printer Gear,Print shop,"781 High St, Reservoir VIC 3073, Australia","{""Friday"":[""9 am–6 pm""],""Monday"":[""9 am–6 pm""],""Saturday"":[""Closed""],""Sunday"":[""Closed""],""Thursday"":[""9 am–6 pm""],""Tuesday"":[""9 am–6 pm""],""Wednesday"":[""9 am–6 pm""]}",{},https://www.3dprintergear.com.au/,+61 1300 334 327,"72C4+C4 Reservoir, Victoria, Australia",161,5.000000,"{""1"":0,""2"":0,""3"":1,""4"":1,""5"":159}",-37.728951,145.005357,15332342262971295126,Closed ⋅ Opens 9 am Mon,,https://search.google.com/local/reviews?placeid=ChIJvXP-Ul-luGoRluUczw1sx9Q&q=3D+Printer+Gear&authuser=0&hl=en&gl=PK,https://lh5.googleusercontent.com/p/AF1QipO0WuF2TCXuPKbqcBhYMWqk4-xHVffSK9H1Ukp-=w408-h306-k-no,Australia/Melbourne,,0x6ab8a55f52fe73bd:0xd4c76c0dcf1ce596,"[{""title"":""All"",""image"":""https://lh5.googleusercontent.com/p/AF1QipO0WuF2TCXuPKbqcBhYMWqk4-xHVffSK9H1Ukp-=w397-h298-k-no""},{""title"":""Latest"",""image"":""https://lh5.googleusercontent.com/p/AF1QipOkcU1pWoNL1eGvGhI1mqMfdcQmPt-qcdq6oYY9=w395-h298-k-no""},{""title"":""Inside"",""image"":""https://lh5.googleusercontent.com/p/AF1QipP_uN97b-T6vyTaK8y5OHHBG2Cn116rh1ASxdj6=w529-h298-k-no""},{""title"":""By owner"",""image"":""https://lh5.googleusercontent.com/p/AF1QipPEh4pDwexoTasKRge2-vR7-I_iPLqXCDA6m6vg=w298-h298-k-no""},{""title"":""Street View \u0026 360°"",""image"":""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=82-GOrXYFlUWwGYNFYzwsg\u0026cb_client=maps_sv.tactile.gps\u0026w=224\u0026h=298\u0026yaw=266.98853\u0026pitch=0\u0026thumbfov=100""}]",null,null,"{""link"":"""",""source"":""""}","{""id"":""115919426711738477942"",""name"":""3D Printer Gear (Owner)"",""link"":""https://www.google.com/maps/contrib/115919426711738477942""}","{""borough"":"""",""street"":""781 High St"",""city"":""Reservoir"",""postal_code"":""3073"",""state"":""Victoria"",""country"":""AU""}","[{""id"":""service_options"",""name"":""Service options"",""options"":[{""name"":""Delivery"",""enabled"":true},{""name"":""In-store shopping"",""enabled"":true},{""name"":""On-site services"",""enabled"":true}]},{""id"":""accessibility"",""name"":""Accessibility"",""options"":[{""name"":""Wheelchair-accessible car park"",""enabled"":true}]},{""id"":""payments"",""name"":""Payments"",""options"":[{""name"":""Credit cards"",""enabled"":true},{""name"":""Debit cards"",""enabled"":true},{""name"":""Credit cards"",""enabled"":false}]}]",null,
4dbfcd8b-38f8-4bf0-abe2-c9ba7051e6d5,https://www.google.com/maps/place/Aurarum+Pty+Ltd/data=!4m7!3m6!1s0x6ad6395b4e9e43bb:0xdf2e7e6b5fe21773!8m2!3d-37.8285695!4d145.2149802!16s%2Fg%2F11bbw_nl3_!19sChIJu0OeTls51moRcxfiX2t-Lt8?authuser=0&hl=en&rclk=1,Aurarum Pty Ltd,Manufacturer,"11/107-113 Heatherdale Rd, Ringwood VIC 3134, Australia","{""Friday"":[""9 am–5 pm""],""Monday"":[""9 am–5 pm""],""Saturday"":[""9 am–12 pm""],""Sunday"":[""Closed""],""Thursday"":[""9 am–5 pm""],""Tuesday"":[""9 am–5 pm""],""Wednesday"":[""9 am–5 pm""]}",{},https://aurarum.com.au/,+61 3 8822 3606,"56C7+HX Ringwood, Victoria, Australia",183,3.900000,"{""1"":43,""2"":5,""3"":7,""4"":6,""5"":122}",-37.828570,145.214980,16081930319021873011,Closed ⋅ Opens 9 am Mon,,https://search.google.com/local/reviews?placeid=ChIJu0OeTls51moRcxfiX2t-Lt8&q=Aurarum+Pty+Ltd&authuser=0&hl=en&gl=PK,https://lh5.googleusercontent.com/p/AF1QipN8_L4t0AMmRJVbLn3A5pv9jemynY-Ql1hnFXnM=w408-h305-k-no,Australia/Melbourne,,0x6ad6395b4e9e43bb:0xdf2e7e6b5fe21773,"[{""title"":""All"",""image"":""https://lh5.googleusercontent.com/p/AF1QipN8_L4t0AMmRJVbLn3A5pv9jemynY-Ql1hnFXnM=w397-h298-k-no""},{""title"":""Building"",""image"":""https://lh5.googleusercontent.com/p/AF1QipMmR8otxPo1aXIxtpjTnnTxPDywxwBSNusqQRmQ=w224-h298-k-no""},{""title"":""Videos"",""image"":""https://lh5.googleusercontent.com/p/AF1QipOIAZWRT1YDxpjdKqwSRKmjwDbd4gj9cSLeEl0U=w224-h398-k-no""},{""title"":""Machine"",""image"":""https://lh5.googleusercontent.com/p/AF1QipMUdN0RJarQUzWsIiDWV2VEqsWV-yIN31Nl1izf=w382-h298-k-no""},{""title"":""By owner"",""image"":""https://lh5.googleusercontent.com/p/AF1QipPf9tbY1z7m7bilIiYdUue39KsHZwZuZgqOh3cg=w224-h298-k-no""},{""title"":""Street View \u0026 360°"",""image"":""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=CklLpq6QksDeot6dpzZpWw\u0026cb_client=maps_sv.tactile.gps\u0026w=224\u0026h=298\u0026yaw=96.127945\u0026pitch=0\u0026thumbfov=100""}]",null,null,"{""link"":"""",""source"":""""}","{""id"":""116209906472675440201"",""name"":""Aurarum Pty Ltd (Owner)"",""link"":""https://www.google.com/maps/contrib/116209906472675440201""}","{""borough"":"""",""street"":""11/107-113 Heatherdale Rd"",""city"":""Ringwood"",""postal_code"":""3134"",""state"":""Victoria"",""country"":""AU""}","[{""id"":""service_options"",""name"":""Service options"",""options"":[{""name"":""On-site services"",""enabled"":true}]},{""id"":""accessibility"",""name"":""Accessibility"",""options"":[{""name"":""Wheelchair-accessible car park"",""enabled"":true},{""name"":""Wheelchair-accessible entrance"",""enabled"":true}]},{""id"":""payments"",""name"":""Payments"",""options"":[{""name"":""Debit cards"",""enabled"":true},{""name"":""NFC mobile payments"",""enabled"":true},{""name"":""Credit cards"",""enabled"":false}]}]",null,sales@aurarum.com.au
4dbfcd8b-38f8-4bf0-abe2-c9ba7051e6d5,https://www.google.com/maps/place/Global+3D+-+3D+Printing+Perth/data=!4m7!3m6!1s0x2a3299b544b9d381:0x3225fe39ded77d63!8m2!3d-32.1002042!4d115.8122064!16s%2Fg%2F11h1zf97d1!19sChIJgdO5RLWZMioRY33X3jn-JTI?authuser=0&hl=en&rclk=1,Global 3D - 3D Printing Perth,3D printing service,"Unit 2/41 Discovery Dr, Bibra Lake WA 6163, Australia","{""Friday"":[""8:30 am–5 pm""],""Monday"":[""8:30 am–5 pm""],""Saturday"":[""Closed""],""Sunday"":[""Closed""],""Thursday"":[""8:30 am–5 pm""],""Tuesday"":[""8:30 am–5 pm""],""Wednesday"":[""8:30 am–5 pm""]}",{},http://www.global3d.com.au/,+61 403 735 788,"VRX6+WV Bibra Lake, Western Australia, Australia",36,4.900000,"{""1"":1,""2"":0,""3"":0,""4"":0,""5"":35}",-32.100204,115.812206,3613573800539946339,Closed ⋅ Opens 8:30 am Mon,,https://search.google.com/local/reviews?placeid=ChIJgdO5RLWZMioRY33X3jn-JTI&q=Global+3D+-+3D+Printing+Perth&authuser=0&hl=en&gl=PK,https://lh5.googleusercontent.com/p/AF1QipONelOQoI5hWmUR5YjBxudE1yCp3TalRjJuoTsR=w493-h240-k-no,Australia/Perth,,0x2a3299b544b9d381:0x3225fe39ded77d63,"[{""title"":""All"",""image"":""https://lh5.googleusercontent.com/p/AF1QipONelOQoI5hWmUR5YjBxudE1yCp3TalRjJuoTsR=w613-h298-k-no""},{""title"":""Inside"",""image"":""https://lh5.googleusercontent.com/p/AF1QipMoZe17N0jE6CnAx64iPAuO8X1DicxeMdhDAwdx=w613-h298-k-no""},{""title"":""By owner"",""image"":""https://lh5.googleusercontent.com/p/AF1QipOnSQrJQX0StqC7sXRSaVCTLDMhepnymCm4ia90=w613-h298-k-no""},{""title"":""Street View \u0026 360°"",""image"":""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=guJhQVKwYaw9v1cftBSngw\u0026cb_client=maps_sv.tactile.gps\u0026w=224\u0026h=298\u0026yaw=334.3514\u0026pitch=0\u0026thumbfov=100""}]",null,null,"{""link"":"""",""source"":""""}","{""id"":""114038928017552645727"",""name"":""Global 3D - 3D Printing Perth (Owner)"",""link"":""https://www.google.com/maps/contrib/114038928017552645727""}","{""borough"":"""",""street"":""Unit 2/41 Discovery Dr"",""city"":""Bibra Lake"",""postal_code"":""6163"",""state"":""Western Australia"",""country"":""AU""}","[{""id"":""accessibility"",""name"":""Accessibility"",""options"":[{""name"":""Wheelchair-accessible car park"",""enabled"":true},{""name"":""Wheelchair-accessible entrance"",""enabled"":true}]}]",null,
