title,category,website,phone,review_count,review_rating,emails
Myeksi Studio,Animation studio,https://www.illegalexcavation.com/,+90 530 877 77 11,0,0,
Archen Group,Architectural designer,,,0,0,
Konrul Teknoloji,Research and product development,http://www.konrul.com/,+90 312 446 15 72,4,4,info@konrul.com
Bilkent CYBERPARK,Research and product development,https://www.cyberpark.com.tr/,+90 312 265 00 40,226,4.3,
MagicLab Game Studio,Software company,https://maglab.com.tr/job-location/ankara/,+90 539 654 41 45,0,0,
Panteon Oyun Teknolojileri,Software company,http://www.panteon.games/,+90 312 210 00 70,28,4.3,info@panteon.games
Karga Games,Software company,http://www.kargagames.com/,,1,5,info@kargagames.com
Alictus Yazilim A.S.,Software company,https://alictus.com/,+90 312 988 02 21,3,5,
Pinq Games,Software company,https://pinq.games/,,3,5,
Pixelized Studio,Software company,http://pixelizedstudio.com/,,2,5,
NoExit Games,Software company,http://noexitgames.com/,,6,5,info@noexitgames.com
MVS Games Yazilim Limited Sirketi,Software company,http://www.mvsgames.com/,,1,5,mail@mvsgames.com
Erik Games Software Technologies,Software company,http://www.erikgames.com/,+90 538 052 16 83,5,5,info@erikgames.com
Funrado,Software company,http://www.funrado.com/,,2,5,umutsahin@funrado.com
Mil Game Studios,Software company,http://www.milgamestudios.com/,,2,5,
4TheWall,Software company,http://www.4thewall.com/,+90 312 440 77 97,2,5,info@4thewall.com
Kodobur Game And Education Technologies,Software company,https://kodobur.com/,+90 312 210 01 17,2,5,info@kodobur.com
Moralabs,Software company,http://www.moralabs.com/,+90 312 265 01 77,16,4.8,info@domain.tld
gamegine,Software company,https://www.gamegine.games/,,5,4.8,
Tris Games Oyun Yazilim Teknolojileri Anonim Sirketi,Software company,http://www.trisgames.com/,,0,0,"605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, baf30a2b91654c5a840931f0137bed30@sentry.wixpress.com, 0e6a29e4756740a8a63493e912ba2174@sentry.wixpress.com, 8c4075d5481d476e945486754f783364@sentry.io, 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com, 78f7996315bc402f9dcb8a2f974b82d1@sentry.wixpress.com"
Zibumi Oyun Gelistirme Stüdyosu,Software company,,+90 312 210 01 19,8,4.5,
Udo Oyun Bilisim Sti.,Software company,http://udogames.com/,,1,5,
GFDS Inc.,Software company,http://www.gfds-inc.com/,+90 312 285 25 20,17,4.6,
Optimus Game Oyunu Yazilim Anonim Sirketi,Software company,,,0,0,
Spektrum Games,Software company,https://www.spektrumgames.com/,,0,0,info@spektrumgames.com
Mobiversite Yazilim Bilisim Reklam ve Danismanlik Hiz. San. Tic. Ltd. Sti.,Software company,https://www.mobiversite.com/,+90 850 305 0663,12,4.9,"605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, baf30a2b91654c5a840931f0137bed30@sentry.wixpress.com, 0e6a29e4756740a8a63493e912ba2174@sentry.wixpress.com, 1eeb89147c984dc6bc3ffafd9e6cd089@sentry.wixpress.com, 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com"
Simula Yazilim,Software company,,,0,0,
Lost Panda Games,Software company,http://lostpandagames.com/,,0,0,info@lostpandagames.com
Game Story Studio,Software company,https://gamestorystudio.com/,+90 312 484 38 99,0,0,info@sinerjisoft.com.tr
Dike Games,Software company,,+90 542 143 39 36,0,0,
Apps,Software company,http://apps.com.tr/,+90 312 265 05 53,7,4.4,"info@apps.com.tr, appsteknoloji@hs02.kep.tr"
E-Kalite (TURBOARD),Software company,http://turboard.com/,+90 312 210 15 12,8,4.9,
Mobile Action,Software company,http://mobileaction.co/,,9,5,Asset-3@2x-1.png
Gamesata.com,Software company,,+90 552 401 22 77,0,0,
Hypermonk Games,Software company,https://www.hypermonkgames.com/,,0,0,info@hypermonkgames.com
Eywin Bilgi Teknolojileri,Software company,https://eywin.com.tr/,+90 552 874 74 57,14,4.7,info@eywin.com.tr
Simsoft Computer Technology,Software company,http://www.simsoft.com.tr/,+90 850 840 0046,50,4.3,
Tolian Games,Software company,http://toliangames.com/,,0,0,
VairoSoft,Software company,https://www.vairosoft.com/,+90 850 302 1313,10,5,iletisim@vairosoft.com
Qulvar Yazilim,Software company,http://www.qulvar.com/,+90 532 419 74 66,0,0,
BEREN BILISIM,Software company,,,1,5,
Vulpis Yazilim,Software company,http://vulpis.com.tr/,+90 506 209 22 90,0,0,
Punbas,Software company,http://www.punbas.com/,,0,0,punbas.studio@gmail.com
VLMedia A.S.,Software company,https://vlmedia.com.tr/,+90 312 210 17 77,14,4.4,info@vlmedia.com.tr
Illumate Studios,Software company,https://illumatestudios.com/,,0,0,hi@illumatestudios.com
Simofun,Software company,https://www.simofun.com/,+90 850 308 8630,6,5,info@simofun.com
Welfish Studio,Software company,https://welfish.net/,+90 555 239 66 23,0,0,studio@welfish.net
Otsimo,Software company,https://otsimo.com/,,26,4.8,support@otsimo.com
Rysesoft,Software company,https://rysesoft.com/,+90 312 433 19 00,0,0,
Titanverse,Software company,http://www.titanverse.com/,+90 505 364 87 97,0,0,info@titanverse.com
INOSAS,Software company,https://www.inosas.com.tr/,+90 312 266 66 50,7,4.4,info@inosas.com.tr
