,title,category,website,phone,review_count,review_rating,emails
,Gaming.Gen.TR (Beta Oyun Teknoloji A.S.),Computer store,https://www.gaming.gen.tr/,+90 850 840 5599,1995,4.3,
,OverGame,Video game store,http://overgameweb.com/,+90 212 353 55 45,264,4.2,
,BOOTCAMP GAMING WORLD,Internet cafe,http://bootcamp-gaming.com/,+90 537 774 45 75,171,4.8,micah@micahrich.com
,Gamelab Istanbul,Software company,https://gamelab.istanbul/,+90 501 361 14 37,79,4.8,
,Heraklet,Software company,,+90 850 242 4372,51,4.9,
,HEETSOFT BILGI TEKNOLOJILERI AS,Software company,https://www.heetsoft.com/,+90 850 441 4338,32,5,
,Memoritory,Software company,https://memoritory.com/,+90 538 234 94 94,22,5,
,Cyber Istanbul A.S,Software company,http://www.cyberistanbul.com/tr/,+90 850 771 0000,20,5,
-------,NARCADE TEKNOLOJI A.S.,Software company,http://www.narcade.com/,+90 212 251 19 03,18,5,
,Joygame Oyun ve Teknoloji A.S,Software company,https://www.joygame.com/,,17,3.3,
,Gaming In Turkey | MENA | EU,Marketing agency,https://www.gaminginturkey.com/,+90 212 278 78 05,16,4.6,
,Playable Factory,Software company,https://playablefactory.com/,,15,3.9,hello@playablefactory.com
,Core Engage,Software company,https://coreengage.com/,+90 212 276 26 73,14,4.6,info@coreengage.com
,HES GAMES Teknoloji Dan. Ins. San. Tic. Ltd. Sti,Software company,,+90 850 360 1437,13,4.4,
,Algorithmics Merkez,Educational institution,http://www.istanbulalgoritma.com/,+90 212 993 01 11,12,5,info@istanbulalgoritma.com
,Omnio Games,Software company,http://omniogames.com/,+90 530 089 80 24,9,4,hi@omnio.gs
,InGame Group,Publisher,http://www.ingamegroup.com/,+90 850 532 7585,9,3.9,
,Codemodeon,Software company,http://www.codemodeon.com/,+90 212 216 00 95,9,4.2,
-------,Enrich Games,Software company,https://enrichgames.com/,+90 212 306 50 00,8,4.5,
-------,Studio Billion,Software company,https://studiobillion.com/,,8,5,"info@studiobillion.com, business@studiobillion.com"
,Fomo Games,Software company,http://www.fomo.gs/,,8,4,hello@fomo.gs
,Coconut Games,Software company,http://www.coconutgames.com/,,7,5,
-------,Game Factory,Software company,http://gamefactory.gs/,,6,4.3,
,Aden Games,Software company,https://www.adengames.com/,+90 531 282 15 45,6,4.3,"ik@adengames.com, info@adengames.com"
,Ratic,Software company,,+90 553 076 10 76,6,5,
,Ottoman Games Yazilim ve Teknoloji A.S.,Software company,http://www.ottomangames.com.tr/,+90 216 232 23 17,6,4.3,
