Contacted,title,category,website,phone,review_count,review_rating,emails
,Aaryavarta Technologies & Games - USA,Software company,http://www.aaryavarta.com/,+1 2017193440,6,4.8,info@aaryavarta.com
,AgilityIO,Software company,http://www.agilityio.com/,,3,5,
,AIS Technolabs- Software & App Development Company in New York | Web Design & Development,Software company,https://www.aistechnolabs.com/,+1 9177460700,6,5,
,AM Technology,Software company,https://amtechnology.info/,0335 1758397,,,
,American Graphics Institute,Computer training school,https://www.agitraining.com/locations/nyc,+1 2129221206,33,4.9,
,App Viper,Software company,https://www.appviper.com/,,0,0,info@AppViper.com
,Appedology Pvt. Ltd.,Software company,http://appedology.pk/,021 35187210,,,
,Appsnation California (Mobile Apps | Games | VR /AR | Metaverse & Software Development Company,Software company,https://appsnation.co/,+1 2535284174,"info@appsnation.co, sales@appsnation.co, info@appsnation.com, sales@appsnation.com",,
,APPSTIRR,Software company,http://www.appstirr.com/,+1 9173983961,5,5,
,Arpatech (Pvt Ltd.,Software company,https://www.arpatech.com/,+1 8002143513,,,
,Bari's Technology Solutions,Software company,http://www.baritechsol.com/,021 34322405,,,
,BD Grow,Marketing agency,https://bdgrow.com/,+1 5168889798,16,4.8,info@bdgrow.com
,BitsWits Newyork - Mobile App Development Company,Software company,https://www.bitswits.co/app-development-company-new-york?utm_source=google&utm_medium=gmb&utm_campaign=gmb_newyork&utm_id=5,+1 2102949230,2,5,
,BitsWits Newyork - Mobile App Development Company,Software company,https://www.bitswits.co/app-development-company-new-york?utm_source=google&utm_medium=gmb&utm_campaign=gmb_newyork&utm_id=5,+1 2102949230,2,5,"info@bitswits.co, info@BitsWits.co"
,Bluestone Apps,Software company,https://bluestoneapps.com/mobile-app-developer-new-york-ny/,+1 7188417601,7,5,
,CodeLabs Private Limited,Software company,https://www.codelabs.inc/,021 37130082,someone@email.com,,
,Codesy Consulting,Software company,https://codesyconsulting.com/,021 34820005,,,
,Codup,Software company,https://codup.co/,+1 2815958169,,,
,cognitiostrategies.io – Taking Your Web3 Gaming & NFT Projects to New Heights,Computer service,https://cognitiostrategies.io/contact/,+1 2125025192,0,0,"ena@cognitiostrategies.io, contact@cognitiostrategies.io"
,Console Creative | Web Design Agency,Website designer,https://www.consolecreative.com/,+1 9178321842,2,5,support@consolecreative.com
,Constellation,Software company,http://www.helloconstellation.com/,+1 9148470562,29,4.8,support@helloconstellation.com
,Contour Software Pvt. Ltd.,Software company,https://contour-software.com/,021 34306280,,,
,Crocoapps,Software company,https://crocoapps.com/contact/,+1 6143487474,0,0,
,Cubix,Software company,https://www.cubix.co/,021 35185337,,,
,Cyber Infrastructure Inc.,Software company,https://www.cisin.com/,+1 4358000086,0,0,
,Digital Dividend,Software company,https://www.digital-dividend.com/,021 34973529,"talktous@digital-dividend.com, info@digital-dividend.com",,
,DigiTrends,Software company,https://www.digitrends.pk/?utm_source=GMB&utm_medium=organic&utm_campaign=GMB&utm_id=Pakistan,021 34376262,,,
,echo3D,Software company,https://www.echo3d.com/,,2,5,
