Contacted,title,category,website,phone,review_count,review_rating,emails
,9STAR,Software company,https://9starinc.com/,+1 888-999-8934,9,4.6,sales@9starinc.com
Yes,Aaryavarta Technologies & Games - USA,Software company,http://www.aaryavarta.com/,+1 2017193440,6,4.8,info@aaryavarta.com
,Adaptive & Co,Marketing agency,https://www.adaptiveco.io/,+1 512-298-4300,41,5,info@adaptiveco.io
,ADMEN,Marketing agency,https://admen.com/?utm_source=Maps&utm_medium=GBM,+1 512-568-3559,102,5,"support@admen.com, sales@admen.com, billing@admen.com"
,AgilityIO,Software company,http://www.agilityio.com/,,3,5,
,AIS Technolabs- Software & App Development Company in New York | Web Design & Development,Software company,https://www.aistechnolabs.com/,+1 9177460700,6,5,
,AM Technology,Software company,https://amtechnology.info/,+92 3351758397,,,
,American Graphics Institute,Computer training school,https://www.agitraining.com/locations/nyc,+1 2129221206,33,4.9,
,App Viper,Software company,https://www.appviper.com/,,0,0,info@AppViper.com
,Appedology Pvt. Ltd.,Software company,http://appedology.pk/,021 35187210,,,
,Appsnation California (Mobile Apps | Games | VR /AR | Metaverse & Software Development Company,Software company,https://appsnation.co/,+1 2535284174,"info@appsnation.co, sales@appsnation.co, info@appsnation.com, sales@appsnation.com",,
,APPSTIRR,Software company,http://www.appstirr.com/,+1 9173983961,5,5,
,Armature Studio,Software company,,,4,4,
,Arpatech (Pvt Ltd.,Software company,https://www.arpatech.com/,+1 8002143513,,,
,Austin Visuals | Animation Studio | 2D/3D/VR Animation,Animation studio,https://austinvisuals.com/,+1 512-591-8024,35,4.8,info@AustinVisuals.com
,Bari's Technology Solutions,Software company,http://www.baritechsol.com/,021 34322405,,,
,BD Grow,Marketing agency,https://bdgrow.com/,+1 5168889798,16,4.8,info@bdgrow.com
,Bioware,Software company,http://www.bioware.com/,+1 512-382-8682,31,4.1,
,BitsWits Newyork - Mobile App Development Company,Software company,https://www.bitswits.co/app-development-company-new-york?utm_source=google&utm_medium=gmb&utm_campaign=gmb_newyork&utm_id=5,+1 2102949230,2,5,"info@bitswits.co, info@BitsWits.co"
,BizeeBay,Internet marketing service,http://www.bizeebay.com/,+1 512-714-9852,45,5,info@bizeebay.com
,Blackhawk Digital Marketing,Marketing agency,https://www.blackhawkdm.com/,+1 512-736-0127,42,5,hello@blackhawkdm.com
,Bloomfire,Software company,http://www.bloomfire.com/,+1 877-483-2777,25,4.8,
,Bluepoint Games,Corporate office,http://www.bluepointgames.com/,,3,5,
,Bluestone Apps,Software company,https://bluestoneapps.com/mobile-app-developer-new-york-ny/,+1 7188417601,7,5,
,Centre Technologies,Computer support and services,https://www.centretechnologies.com/austin,+1 833-236-8731,340,5,
