Contacted,Game Developers Network,Business networking company,https://www.gamedevelopersnetwork.biz/,,hello@gamedevelopersnetwork.biz
,title,category,website,phone,emails
,Game Dev Local,Media company,http://www.gamedevlocal.com/,,"605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, baf30a2b91654c5a840931f0137bed30@sentry.wixpress.com, 0e6a29e4756740a8a63493e912ba2174@sentry.wixpress.com, 88170cb0c9d64f94b5821ca7fd2d55a4@sentry-next.wixpress.com, 18d2f96d279149989b95faf0a4b41882@sentry-next.wixpress.com, 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com, a18507e8883842d8a1ba47257fee81ac@sentry.wixpress.com, 9b2d036865304345b559aff283cf26f3@sentry.wixpress.com, 5d1795a2db124a268f1e1bd88f503500@sentry.wixpress.com"
,Into Games,Non-profit organization,https://intogames.org/,+44 800 037 9341,
,Game Builders Academy,School,http://www.gamebuildersacademy.com/,+44 7375 846107,"605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, 8c4075d5481d476e945486754f783364@sentry.io, 98b21aa53d68482b8414e892d9af0e5f@sentry-next.wixpress.com, f36cc48fb72b4d298c835f2793cf3b84@sentry-next.wixpress.com, dd0a55ccb8124b9c9d938e3acf41f8aa@sentry.wixpress.com, c183baa23371454f99f417f6616b724d@sentry.wixpress.com, 18d2f96d279149989b95faf0a4b41882@sentry-next.wixpress.com, 88170cb0c9d64f94b5821ca7fd2d55a4@sentry-next.wixpress.com, 78f7996315bc402f9dcb8a2f974b82d1@sentry.wixpress.com, a18507e8883842d8a1ba47257fee81ac@sentry.wixpress.com, 5d1795a2db124a268f1e1bd88f503500@sentry.wixpress.com"
yes,Level Up Games Ltd,Software company,,+44 20 3318 8364,
yes,️ 🕹️Fan Studio Game App Development Company London,Software company,https://www.fanstudio.co.uk/,+44 20 3287 1166,"hello@fanstudio.co.uk, hello@fanstudio.us, romania@fanstudio.co.uk"
yes,Juego Studios - Game Development Studio London UK,Software company,https://www.juegostudio.com/,+44 7587 840496,"info@juegostudio.com, info.usa@juegostudio.com, info.uk@juegostudio.com"
yes,Netspeak Games,Software company,http://www.netspeakgames.com/,,support@netspeakgames.com
yes,WholeTechCreative Games,Software company,http://wtc-games.com/,,info@wtc-games.com
yes,Playerthree,Software company,https://playerthree.com/,+44 20 7378 1798,info@playerthree.com
yes,The Game Dev Group,Software company,https://www.meetup.com/TheGameDevGroup/,+44 7753 468767,
yes,Utopian Game Labs Ltd,Software company,http://utopian-game-labs.com/,+44 7532 532188,
yes,Level 10 Games,Software company,https://www.level-10-games.com/,+44 7534 156133,"605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, 1eeb89147c984dc6bc3ffafd9e6cd089@sentry.wixpress.com"
yes,gameDNA,Software company,https://gamedna.studio/,+44 7852 588417,
yes,Aaryavarta Technologies - Game Development,Software company,http://www.aaryavarta.com/,+44 7448 581096,info@aaryavarta.com
yes,Digital Dreams Games Ltd,Software company,https://digitaldreams.games/,,
yes,Frontier Developments,Software company,http://www.frontier.co.uk/,+44 1223 394300,
yes,Lightwood Games,Software company,http://www.lightwoodgames.com/,,
yes,Nice Game Studios LTD,Software company,https://nicegamestudios.com/,,
yes,ustwo Games,Software company,https://ustwogames.co.uk/,,
yes,CCP Games,Software company,http://ccpgames.com/,+44 20 3530 4910,
yes,GAMERFLEX Studios,Software company,http://gamerflexstudios.com/,+44 1234 567890,
yes,Curve Games,Software company,http://curvegames.com/,+44 20 7566 0095,
yes,Desert Game Studio,Software company,http://desertgamestudio.com/,+44 7477 320233,
yes,Core Gaming Ltd,Software company,https://www.core-gaming.info/coregaming/home,,
yes,Ripstone Ltd,Software company,http://www.ripstone.com/,,
yes,Realistic Games,Software company,https://www.realisticgames.co.uk/,+44 118 958 6960,"Catch22_Game_Card_400x280@2x.jpg, Catch22_Game_Card_400x280@2x-300x210.jpg, Catch22_Game_Card_400x280@2x-768x538.jpg, Shinobi_Moon_Game_Card_400x280@2x-1.jpg, Shinobi_Moon_Game_Card_400x280@2x-1-300x210.jpg, Shinobi_Moon_Game_Card_400x280@2x-1-768x538.jpg, Destination_Atlantis_Playtech_Game_Card_256x256@1x.png, Top_Tenner_Hero_Banner_MB_768x420@2x.jpg, Maxiplier_Hero_Banner_MB_768x420@2x-1.jpg, Fortune_Fortress_Hero_Banner_DS_1920x795@1x.jpg, Fortune_Fortress_Hero_Banner_MB_768x420@2x.jpg, ChickenOrTheEgg_Hero_Banner_DS_1920x795@1x.jpg, ChickenOrTheEgg_Hero_Banner_MB_768x420@2x.jpg, Game_Name_Hero_Banner_DS_1920x795@1x.jpg, Book_of_Midas_Hero_Banner_MB_768x420@2x-1.png, Destination_Atlantis_Hero_Banner_DS_1920x795@1x.jpg, Destination_Atlantis_Hero_Banner_MB_768x420@2x.jpg, Shinobi_Moon_Hero_Banner_DS_1920x795@1x.jpg, Shinobi_Moon_Hero_Banner_MB_768x420@2x-1-1.jpg, Catch22_Hero_Banner_DS_1920x795@1x.jpg, Catch22_Hero_Banner_MB_768x420@2x.jpg, Game_Name_Game_Card_400x280@2x.jpg, Game_Name_Game_Card_400x280@2x-300x210.jpg, Game_Name_Game_Card_400x280@2x-768x538.jpg, Fortune_Fortress_Game_Card_400x280@2x.jpg, Fortune_Fortress_Game_Card_400x280@2x-300x210.jpg, Fortune_Fortress_Game_Card_400x280@2x-768x538.jpg, Fortune_Fortress_Game_Card_400x280@2x-254x178.jpg, ChickenOrTheEgg_Game_Card_400x280@2x.jpg, ChickenOrTheEgg_Game_Card_400x280@2x-300x210.jpg, ChickenOrTheEgg_Game_Card_400x280@2x-768x538.jpg, ChickenOrTheEgg_Game_Card_400x280@2x-254x178.jpg, Maxiplier_Game_Card_400x280@si.jpg, Maxiplier_Game_Card_400x280@si-300x210.jpg, Maxiplier_Game_Card_400x280@si-768x538.jpg, Maxiplier_Game_Card_400x280@si-254x178.jpg, Chilli_Master_Game_Card_400x280@1x.jpg, Chilli_Master_Game_Card_400x280@1x-300x210.jpg, Begambleware@2x.png, Begambleware@2x-300x39.png, gambling_comission_logo_white@2x.png, gamcarelogooptimised@2x.png, gibraltargamblinglicense@2x.png, 18pluslogooptimised@2x.png"
yes,Unit 2 Games,Software company,,,
yes,PLAY,Software company,,,
yes,Arkode Games,Software company,https://arkodegamessocials.wixsite.com/home,+44 7891 498336,
yes,Draw & Code Ltd.,Software company,http://www.drawandcode.com/,+44 151 329 0900,
yes,Aura Games Limited,Software company,https://www.auragames.co.uk/,,
yes,Star Game Studios,Software company,https://stargamestudios.com/,,
yes,Fish Tin Games,Software company,http://fishtingames.com/,+44 7463 908256,
yes,Dambuster Studios,Software company,http://www.dsdambuster.com/,+44 115 778 8111,
yes,Gamevy Limited,Software company,http://www.gamevy.com/,+44 20 7253 2380,hello@gamevy.com
yes,The Multiplayer Group (MPG),Software company,https://themultiplayergroup.com/,,
yes,SD Games,Software company,http://sdgames.co.uk/,+44 7366 310260,
yes,Unity Developers,Software company,http://unitydevelopers.co.uk/,+44 1234 860619,hello@unitydevelopers.co.uk
yes,Unexpected Developments Ltd,Software company,http://unexpected-developments.com/,+44 115 824 0112,"info@unexpected-developments.com, contact@unexpected-developments.com"
yes,Make Real Ltd,Software company,https://makereal.co.uk/,,info@makereal.co.uk
,Hybrid Games and Entertainment LTD,Toy and game manufacturer,http://thehybrid.co.uk/,,
,University Games Paul Lamond Games Ltd,Toy and game manufacturer,https://university-games.co.uk/,+44 20 7254 0100,"The_Learning_Journey_-_Website_Banner_284af601-66d0-49e9-81e4-24b54caffbfa_1280x@2x.png, Subbuteo_Trade_Site_Small_Banners_410x410@2x.jpg, UG_and_Flagoon_410x410@2x.png, Harry_Potter_Collection_410x410@2x.jpg, Where_s_Wally_Collection_410x410@2x.jpg, Forbidden_Games_Mini_Banner_410x410@2x.jpg, The_Learning_Journey_410x410@2x.png"
