title,category,address,website,phone,review_count,review_rating,emails
LEAN DESIGN ENDÜSTRIYEL TASARIM SAN. TIC. LTD. STI.,Industrial design company,"Atatürk, LEAN DESIGN ENDÜSTRIYEL TASARIM SAN. TIC. LTD. STI., Akkus Sk. 2A, 34785 Sancaktepe/Istanbul, Türkiye",,+90 541 862 62 79,16,4.9,
Moldcodes Design and Manufacturing Consultancy,Molding supplier,"Evliya Çelebi, Moldcodes Design and Manufacturing Consultancy, IKSV VAKFI, Sadi Konuralp Cd. D:5 / 2, 34430 Beyoglu/Istanbul, Türkiye",,+90 530 343 94 83,7,5,
MARGO Interior & Product Design Tanya Ildiroglu,Interior designer,"Zühtüpasa, MARGO Interior & Product Design Tanya Ildiroglu, Rifat Bey Sk. No:8, 34724 Kadiköy/Istanbul, Türkiye",http://www.margo.com.tr/,+90 216 417 28 16,11,5,info@margo.com.tr
Huni Studio,Advertising agency,"Yesilce, Huni Studio, Ulubas Cd. No:30, 34418 Kâgithane/Istanbul, Türkiye",http://www.hunistudio.com/,+90 850 202 9407,25,4.8,info@hunistudio.com
Arman Tasarim,Industrial design company,"Göztepe Yolu Mah, Arman Tasarim, Atatürk Cd. No:7 Kat:4, 34815 Beykoz/Istanbul, Türkiye",http://www.armantasarim.com/,+90 216 465 83 55,28,4.8,info@armandesign.com
ROOT / Product Design Studio,Toy and game manufacturer,"Visnezade Mah. Servirevan Çikmazi No:10/5 Besiktas, 34357 Akaretler/Istanbul, Türkiye",http://www.root.work/,+90 535 718 36 30,2,5,HELLO@ROOT.WORK
Ovo Yachts,Design agency,"Visnezade, Ovo Yachts, Mahmut Yesari Cd. No:2, 34718 Kadiköy/Istanbul, Türkiye",http://www.designvena.com/,+90 216 651 43 51,1,5,
DesignUM,Industrial design company,"Göztepe Mah. Göksu Evler Sit., Sakayik Cd. B69A No:10 Anadolu Hisari, 34815 Beykoz/Istanbul, Türkiye",http://www.design-um.com/,+90 216 999 17 74,6,5,info@design-um.com
MDESIGN mdizayn m dizayn m design mobilya.tasarim.dekorasyon istanbul,Industrial design company,"Suadiye, MDESIGN mdizayn m dizayn m design mobilya.tasarim.dekorasyon istanbul, Suadiye, bagdat caddesi, chakra magazasi arkasi, Ülkü Sk. Teras sevgili 13 D:15 daire:2, 34740 Kadiköy/Istanbul, Türkiye",http://www.m-dizayn.com/,+90 532 233 87 04,2,5,mdizaynsuadiye@gmail.com
Professional Design Factory,Design agency,"Merkez, Professional Design Factory, Kemerburgaz Cd. No:36, 34406 Kâgithane/Istanbul, Türkiye",http://www.pdf-tr.com/,+90 212 321 88 89,13,4.7,info@pdf-tr.com
mordagdesign – Industrial Design Studio | Endüstriyel Tasarim Stüdyosu,Industrial design company,"Maslak Mahallesi Meydan Sokak Beybi Giz Plaza No:1 Kat:15 D:55, 34398 Sariyer/Istanbul, Türkiye",http://www.mordagdesign.com/,+90 212 982 03 12,0,0,info@mordagdesign.com
VOYA | Digital Product Design Studio,Design agency,"Maslak, VOYA | Digital Product Design Studio, AOS, Maslak Plaza, 55. Sk No:42 B Blok No: 4 D: 573, 34485 Sariyer/Istanbul, Türkiye",http://voya.digital/,,0,0,info@voya.digital
NeoArt Design,Industrial design company,"Merkez Mahallesi Cendere Sokak Nef 11 D Blok Kat 2 Daire 34, 34406 Kâgithane/Istanbul, Türkiye",http://neoartdesign.com/,+90 533 524 79 93,1,5,
