Priority,Contacted,title,category,website,phone,review_count,review_rating,emails
,,Australian Logo Design,Graphic designer,https://australianlogodesign.com.au/,,197,4.9,
,,Squarely,Website designer,http://www.squarely.com.au/,+61 418 844 411,175,5,hello@squarely.com.au
,,Designpluz,Website designer,https://www.designpluz.com.au/,+61 2 9829 9881,90,4.9,hello@designpluz.com.au
,,UNSW Art & Design,Academic department,http://www.artdesign.unsw.edu.au/,+61 2 8936 0684,81,4.1,
,,The Distillery,Invitation printing service,http://www.the-distillery.com.au/,+61 2 9360 9958,74,4.9,"dst-logo-flyout@2x.png, dst-logo-flyout@3x.png, dst-logo-header@2x.png, dst-logo-header@3x.png, dst-logo-footer@2x.png, dst-logo-footer@3x.png"
,,ES Design,Building design company,https://www.es.au/,+61 460 000 000,68,4.9,
,,Made Agency,Graphic designer,https://madeagency.com.au/,+61 2 8007 7083,55,4.8,studio@madeagency.com
,,Concise Digital Pty Ltd,Internet marketing service,https://www.concise.digital/,+61 1300 226 624,49,4.9,
,,Watts Design,Design agency,http://wattsdesign.com.au/,+61 3 9696 4116,43,5,info@wattsdesign.com.au
,,Principle Design,Graphic designer,http://principledesign.com.au/?utm_source=gmb&utm_medium=organic&utm_campaign=gmb,+61 3 9416 2717,37,4.7,info@principledesign.com.au
,,Design Identity Australia,Photography studio,https://designidentity.com.au/,+61 2 8339 0130,37,4.9,
,yes,Vert Design,Industrial design company,http://www.vertdesign.com.au/,+61 2 9698 7770,33,4.8,design@vertdesign.com.au
,,Presentation Design Co,Graphic designer,http://www.presentationdesign.co/,+61 2 8004 5002,28,5,hello@presentationdesign.co
,,3D Prototyping,Manufacturer,https://3dprototyping.com.au/,+61 7 3262 9283,28,4.6,
,,Architectural Designer Products,Manufacturer,https://www.adpaustralia.com.au/,+61 2 4271 2444,28,4.3,
,,Creativa,Video production service,https://creativa.com.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb,+61 3 9999 1333,27,4.9,hello@creativa.com.au
,,Design Philosophy,Website designer,https://designphilosophy.com.au/,+61 415 195 858,27,5,louisa@designphilosophy.com.au
,,IE,Consultant,http://ie.com.au/,+61 3 9001 1700,22,4.2,
,,Argon - Adelaide Web Design Studio,Website designer,https://argon.com.au/,+61 8 8223 3099,21,5,"info@argon.com.au, support@argon.com.au"
,,Outerspace Product Design Melbourne,Engineering consultant,https://outerspace.co/?utm_source=google&utm_medium=organic&utm_campaign=google_my_business,+61 3 9427 0355,20,4.9,
,,Australian Design Centre,Art gallery,http://australiandesigncentre.com/,+61 2 9361 4555,19,4,hello@australiandesigncentre.com
,,Form Designs Australia,Engineering consultant,http://www.formdesigns.com.au/,+61 8 9418 3311,19,3.9,enquiries@formdesigns.com.au
,,Planet Innovation,Engineering consultant,https://planetinnovation.com/,+61 3 9945 7510,19,4.5,
,,ROUNDHOUSE,Website designer,https://roundhouse.cc/,+61 1300 727 749,18,5,us@roundhouse.cc
,,Critical Design,Design agency,http://www.criticaldesign.com.au/,+61 416 310 134,16,5,info@criticaldesign.com.au
,,Lasso Creative Design Studio,Design agency,http://www.lassocreative.com.au/,+61 2 9988 3929,16,5,studio@lassocreative.com.au
1,yes,Bortz Product Design,Industrial design company,http://www.bortz.com.au/,+61 2 9878 0123,16,5,
,,Swear Words,Design agency,http://www.swearwords.com.au/,+61 497 932 782,15,4.9,
1,yes,Paraform Industrial Design Studio,Industrial design company,https://paraform.com.au/,+61 1300 416 799,15,5,
,,theAd - Sydney? Digital Studio,Marketing agency,http://www.thead.com.au/,+61 2 8080 2100,15,4.9,
,,Liquid Interactive,Design agency,https://www.liquidinteractive.com.au/,+61 7 3363 5300,14,4.4,"katie-bridget@2x.jpg, gianni@2x.jpg, harpreet@2x.jpg, emily@2x.jpg, doggo@2x.jpg, sam@2x.jpg"
,,Percept Brand Design Agency,Design agency,https://percept.com.au/,+61 2 9544 3200,14,4.8,info@percept.com.au
