Contacted,title,category,website,phone,review_count,review_rating,emails
,University of Oregon - Product Design Program,Academic department,https://pd.uoregon.edu/,+1 5413466697,0,0,artdesign@uoregon.edu
,Delve,Consultant,https://www.delve.com/,+1 6083168400,12,4.3,
,Design Products Company,Corporate office,,+1 8606668573,5,4.2,
yes,Laut Design,Design agency,http://www.lautdesign.com/,+1 9194108711,32,5,info@lautdesign.com
yes,Form Department,Design agency,https://www.formdepartment.com/,+1 2132657977,9,4.1,
yes,WORKSHOP,Design agency,http://workshop.com/,+1 6124441000,13,4.9,hello@workshop.com
yes,LESS+MORE,Design agency,http://lessandmore.com/,+1 6193419239,10,4.6,studio@lessandmore.com
yes,Lifestyle Design,Design agency,http://lifestyledesign.com/,+1 8059670700,0,0,info@lifestyledesign.com
yes,Tactile,Design agency,http://tactileinc.com/,+1 2064485550,0,0,hello@tactileinc.com
yes,Ziba Design,Design agency,http://www.ziba.com/,+1 5032239606,5,5,connect@ziba.com
yes,Hybrid Design,Design agency,http://hybrid-design.com/,+1 4152274700,1,5,info@hybrid-design.com
yes,"Innovative Design Products, Inc.",Design engineer,http://www.innovativedesignproducts.com/,+1 9497481902,1,5,
yes,Product Development Experts,Design engineer,https://product-development-experts.com/,+1 7143669000,4,5,
yes,All Product Design,Design engineer,http://allproducteng.com/,+1 4798559078,0,0,info@allproductdesign.com
yes,Product Design Services,Design engineer,http://www.pdsllc.com/,+1 2699254000,1,5,
,Product Design & Development,Electronic parts supplier,,+1 6362561955,0,0,
,Nova Product Design,Engineering consultant,http://www.novaproductdesign.com/,+1 9735343373,1,5,
,Portland Garment Factory,Fabric product manufacturer,http://www.portlandgarmentfactory.com/,+1 5032572905,10,4.4,hello@portlandgarmentfactory.com
,3D Product Graphic Designer,Graphic designer,https://graphicsfineart.wordpress.com/,+1 8189121051,0,0,
yes,Unbox Product Design,Industrial design company,https://www.unboxpd.com/,+1 4156059633,4,5,
yes,Product Design Experts,Industrial design company,http://www.product-design-experts.com/,+1 2673246304,1,5,
yes,ION Design,Industrial design company,http://iondesign.com/,+1 2013135553,3,5,
yes,Design Branch,Industrial design company,http://www.designbranchonline.com/,+1 2673041890,4,5,
yes,"Gr?e Technica, Inc.",Industrial design company,http://www.grunetechnica.com/,+1 5036674100,0,0,
yes,Kloop Studio Inc,Industrial design company,http://www.kloopstudio.com/,,0,0,
yes,Tandem Product Design,Industrial design company,https://www.tandem-design.com/,+1 3106516855,21,4.4,contact@tandem-design.com
yes,Boston Product Design,Industrial design company,http://www.bostonproductdesigns.com/,+1 6038096466,2,5,
yes,Product Design Associates,Machine shop,https://productdesignsusa.com/,+1 7146037727,0,0,
yes,Product Design Specialties,Metal fabricator,http://www.productdesignspecialties.com/,+1 5036298613,0,0,pob@productdesignspecialties.com
yes,Product Design Developments,Plastic fabrication company,http://www.pddplasticforming.com/,+1 7148986895,2,3,
yes,SnS Design - Product Design & Development Firm,Research and product development,https://snsdesign.com/,+1 2127310833,9,5,info@snsdesign.com
yes,Product Creation Studio,Research and product development,http://productcreationstudio.com/,+1 2062977200,6,5,
yes,Ford Motor Company: Product Development Center,Research and product development,https://corporate.ford.com/careers/departments/product-development.html,,564,4.7,
yes,product council,Research and product development,http://www.productcouncil.com/,+1 8472071840,9,5,rsheldon@productcouncil.com
yes,Driven Innovation,Research and product development,http://driveninnovation.com/,+1 4088395750,2,5,
yes,"bb7, LLC",Research and product development,https://www.bb7.com/,+1 6082240377,7,4.6,info@bb7.com
yes,LA New Product Development Team (LA NPDT) | Product Development Company | Concept Design Company | Prototyping Company,Research and product development,https://lanpdt.com/?utm_campaign=gmb,+1 3182000526,42,5,
yes,LA New Product Development Team (LA NPDT) | Product Development Company | Concept Design Company | Prototyping Company,Research and product development,https://lanpdt.com/,+1 3182000526,24,4.8,
,"ZAZZ | Software, Mobile App Development Company in USA",Software company,https://www.zazz.io/?utm_source=Google_Business_Listing&utm_medium=GBL_Website&utm_campaign=GBL,+1 8003158144,12,5,"hr@zazz.io, careers@zazz.io"
,Crema,Software company,https://www.crema.us/?utm_source=google&utm_medium=organic&utm_campaign=GMB,+1 8163071158,21,4.8,
,The Product Design Company,Software company,http://productdesignco.com/,+1 9516393661,0,0,info@productdesignco.com
