title,category,address,website,phone,emails
SUNSHINE CORPORATION,Industrial design company,"5/12، SUNSHINE CORPORATION, Rimpa Plaza, Muhammad Ali Jinnah Rd, Preedy Quarters Karachi, Karachi City, Sindh 74400",,(021) 32728167,
Luxe Design Pakistan,Interior construction contractor,"Plot C, Luxe Design Pakistan, 21, Mehran Town Sector 6 F Korangi Industrial Area, Karachi, Karachi City, Sindh 75400",,0311 1002036,
SignAxes (Pvt.) Ltd.,Industrial design company,"66/1 M-6, Block 6 P.E.C.H.S., Karachi, Karachi City, Sindh 75400",http://www.signaxes.com/,(021) 34314895,"info@signaxes.com, lahore@signaxes.com"
Sindh Standard Engineering Works,Industrial design company,"Plot # F713A, Metroville Sindh Industrial Trading Estate, Karachi, Karachi City, Sindh 75840",,0333 2168820,
Department of Product & Industrial Design,Department of education,"H9H4+22X Department of Product & Industrial Design, Staff Houses Engineering University Lahore, Lahore, Punjab",http://uet.edu.pk/,,
Fashion Boutique,Industrial design company,"Kurta Gali Tariq Road, Street No.7, Karachi, 75400",,0314 2143216,
IITC,Industrial design company,"IITC، A: 10th Floor, Mehdi Tower, Shahrah-e-Faisal Rd, Sindhi Muslim Cooperative Housing Society Faisal Cantonment, Karachi, Karachi City, Sindh",,(021) 343 206 015,
R.I.S.E Pvt. Ltd.,Engineering consultant,"Lane Number 10, D.H.A Phase 6 Bukhari Commercial Area Phase 6 Defence Housing Authority, Karachi, Karachi City, Sindh 75500",http://www.risengineering.org/,(021) 37120968,
Corian Design By Bungash Inspiring Workplace,Construction company,"SUIT #01، Corian Design By Bungash Inspiring Workplace, Plot #7 31st St, DHA Phase 5 Tauheed Commercial Area Defence V DHA Karachi، Karachi, Karachi City, Sindh 75500",,0300 8256664,
Pak Interior Facility Management & Hospitality,Corporate office,"Office # 403 Business Forum, Plot#3 58 Khalid Bin Walid Rd, Karachi",,+971 52 941 4770,
Design For Textile,Design engineer,"R4QC+GC2 Design For Textile, Mehran Town Sector 24 Korangi, Karachi, Karachi City, Sindh 76000",,0321 2455670,
Interior & Architecture Design Pakistan,Interior designer,"Adeel Plaza, Block H North Nazimabad Town, Karachi, Karachi City, Sindh 74700",https://interiordesignpakistan.com/,0307 9890173,
Ahsan Ehsan - Commercial Interior Design Services,Interior designer,"Plot H3, Sector 5, 5 Korangi Industrial Area Rd, Sector, 75900",https://www.facebook.com/ahsanehsan00/,0333 3065404,
Haris Engineering Works,Fabrication engineer,"Industrial Plot No. 3/10 & 3/11 Survey Sheet No, Shah Faisal Colony Number 3, Reta Plot Shah Faisal Colony, Karachi, Karachi City, Sindh 75230",,0311 0836743,
Karachi University iccbs,Industrial design company,"Karachi University business address My home bilawal Shah rou Court Late house paper market CWC7+RW Mountain View, California, Karachi",,0303 3541707,
3D Educators - Main Campus,Training centre,"Suite # 7, 3D Educators - Main Campus, Noble Heights, Main University Rd, opposite Askari Park, Chandni Chowk Chandni Chowk (New Town), Karachi, Karachi City, Sindh",https://www.3deducators.com/,(021) 34857148,info@3deducators.com
SADA - School Of Art Design And Architecture,Academic department,"H-12, NUST, Islamabad, Islamabad Capital Territory",http://sada.nust.edu.pk/,,
National Textile University Karachi Campus,Public university,"National Textile University Karachi Campus، St-2/1, Sector 30 Korangi Industrial Area, Karachi, Sindh 74900",,(021) 35063589,
All Tech Engineering Works,Engineering consultant,"habib bank chorangi karachi, A21,A80, Eastern Studio, B16 Shed, SITE area Karachi, 74600",http://www.alltechengworks.com/,0341 3099011,zaryabmalik786@gmail.com
Gul Ahmed KAU-2 (Korangi Apparel Unit),Textile mill,"R4P5+66V Gul Ahmed KAU-2 (Korangi Apparel Unit), Main Korangi Industrial Local Rd, Mehran Town Sector 23 Korangi, Karachi, Karachi City, Sindh 75190",http://www.gulahmed.com/,0345 3064311,
