input_id,link,title,category,address,open_hours,popular_times,website,phone,plus_code,review_count,review_rating,reviews_per_rating,latitude,longitude,cid,status,descriptions,reviews_link,thumbnail,timezone,price_range,data_id,images,reservations,order_online,menu,owner,complete_address,about,user_reviews,emails
318abaa1-01a4-4a9d-b3a6-5fb13a1c4aa7,https://www.google.com/maps/place/Sindh+Standard+Engineering+Works/data=!4m7!3m6!1s0x3eb3157f582a3fc5:0x1cdc0c60218567ed!8m2!3d24.9189308!4d66.9931789!16s%2Fg%2F11gy9wtcls!19sChIJxT8qWH8Vsz4R7WeFIWAM3Bw?authuser=0&hl=en&rclk=1,Sindh Standard Engineering Works,Industrial design company,"Plot # F713A, Metroville Sindh Industrial Trading Estate, Karachi, Karachi City, Sindh 75840","{""Friday"":[""9 am–6 pm""],""Monday"":[""9 am–6 pm""],""Saturday"":[""9 am–6 pm""],""Sunday"":[""Closed""],""Thursday"":[""9 am–6 pm""],""Tuesday"":[""9 am–6 pm""],""Wednesday"":[""9 am–6 pm""]}",{},,0333 2168820,"WX9V+H7 Sindh Industrial Trading Estate, Karachi",8,4.500000,"{""1"":1,""2"":0,""3"":0,""4"":0,""5"":7}",24.918931,66.993179,2079550734957111277,Open ⋅ Closes 6 pm,,https://search.google.com/local/reviews?placeid=ChIJxT8qWH8Vsz4R7WeFIWAM3Bw&q=Sindh+Standard+Engineering+Works&authuser=0&hl=en&gl=PK,,Asia/Karachi,,0x3eb3157f582a3fc5:0x1cdc0c60218567ed,[],null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":""Sindh Standard Engineering Works (Owner)"",""link"":""""}","{""borough"":""Metroville Sindh Industrial Trading Estate"",""street"":""Plot # F713A"",""city"":""Karachi"",""postal_code"":""75840"",""state"":""Karachi City, Sindh"",""country"":""PK""}",null,null,
318abaa1-01a4-4a9d-b3a6-5fb13a1c4aa7,https://www.google.com/maps/place/Aamad+engnieering+works/data=!4m7!3m6!1s0x3eb315242525755b:0xab2c123468137061!8m2!3d24.9065435!4d66.9963844!16s%2Fg%2F11q310jz1_!19sChIJW3UlJSQVsz4RYXATaDQSLKs?authuser=0&hl=en&rclk=1,Aamad engnieering works,Industrial design company,"WX4W+JH6 Aamad engnieering works, Nauman Rd, Metroville Sindh Industrial Trading Estate, Karachi, Karachi City, Sindh",{},{},,,,1,5.000000,"{""1"":0,""2"":0,""3"":0,""4"":0,""5"":1}",24.906543,66.996384,12334253495754649697,,,https://search.google.com/local/reviews?placeid=ChIJW3UlJSQVsz4RYXATaDQSLKs&q=Aamad+engnieering+works&authuser=0&hl=en&gl=PK,,Asia/Karachi,,0x3eb315242525755b:0xab2c123468137061,[],null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":""Aamad engnieering works (Owner)"",""link"":""""}","{""borough"":""Metroville Sindh Industrial Trading Estate"",""street"":""WX4W+JH6, Nauman Rd"",""city"":""Karachi"",""postal_code"":"""",""state"":""Karachi City, Sindh"",""country"":""PK""}",null,null,
318abaa1-01a4-4a9d-b3a6-5fb13a1c4aa7,https://www.google.com/maps/place/Excalibrax/data=!4m7!3m6!1s0x4ba5bd1895833fb1:0xe6e09993c5cc6060!8m2!3d24.9271444!4d67.0892636!16s%2Fg%2F11wj8s0bwy!19sChIJsT-DlRi9pUsRYGDMxZOZ4OY?authuser=0&hl=en&rclk=1,Excalibrax,Industrial design company,"Block 3 Gulshan-e-Iqbal, Karachi, Karachi City, Sindh 75300","{""Friday"":[""Open 24 hours""],""Monday"":[""Open 24 hours""],""Saturday"":[""Closed""],""Sunday"":[""Closed""],""Thursday"":[""Open 24 hours""],""Tuesday"":[""Open 24 hours""],""Wednesday"":[""Open 24 hours""]}",{},,0301 3332620,"W3GQ+VP Gulshan-e-Iqbal, Karachi",1,5.000000,"{""1"":0,""2"":0,""3"":0,""4"":0,""5"":1}",24.927144,67.089264,16636465883464360032,Open 24 hours,,https://search.google.com/local/reviews?placeid=ChIJsT-DlRi9pUsRYGDMxZOZ4OY&q=Excalibrax&authuser=0&hl=en&gl=PK,,Asia/Karachi,,0x4ba5bd1895833fb1:0xe6e09993c5cc6060,[],null,null,"{""link"":"""",""source"":""""}","{""id"":""115011574452771665892"",""name"":""Excalibrax (Owner)"",""link"":""https://www.google.com/maps/contrib/115011574452771665892""}","{""borough"":""Block 3 Gulshan-e-Iqbal"",""street"":"""",""city"":""Karachi"",""postal_code"":""75300"",""state"":""Karachi City, Sindh"",""country"":""PK""}","[{""id"":""service_options"",""name"":""Service options"",""options"":[{""name"":""On-site services"",""enabled"":true}]}]",null,
318abaa1-01a4-4a9d-b3a6-5fb13a1c4aa7,https://www.google.com/maps/place/Saeed+Engineering+%26+Plastic+Works/data=!4m7!3m6!1s0x3eb341297b964ac5:0x116b65e7b768c494!8m2!3d24.9469784!4d67.0129302!16s%2Fg%2F11f5vgq1wz!19sChIJxUqWeylBsz4RlMRot-dlaxE?authuser=0&hl=en&rclk=1,Saeed Engineering & Plastic Works,Industrial design company,"W2W7+Q5V Saeed Engineering & Plastic Works, Sector 12/L Sector 7 F Orangi Town, Karachi, Karachi City, Sindh 75800",{},{},,0345 2986306,,4,4.500000,"{""1"":0,""2"":0,""3"":1,""4"":0,""5"":3}",24.946978,67.012930,1255208967041762452,,,https://search.google.com/local/reviews?placeid=ChIJxUqWeylBsz4RlMRot-dlaxE&q=Saeed+Engineering+%26+Plastic+Works&authuser=0&hl=en&gl=PK,https://lh5.googleusercontent.com/p/AF1QipNdwMnYGDAyU4-A3k15q9vPqPBwZ-Da-samwGPd=w408-h306-k-no,Asia/Karachi,,0x3eb341297b964ac5:0x116b65e7b768c494,"[{""title"":""All"",""image"":""https://lh5.googleusercontent.com/p/AF1QipNdwMnYGDAyU4-A3k15q9vPqPBwZ-Da-samwGPd=w397-h298-k-no""},{""title"":""Videos"",""image"":""https://lh5.googleusercontent.com/p/AF1QipMQq2V6xUvmx8hxmjrd6zADP0RP6-gm0FxhekT_=w529-h298-k-no""}]",null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":""Saeed Engineering \u0026 Plastic Works (Owner)"",""link"":""""}","{""borough"":""Sector 12/L Sector 7 F Orangi Town"",""street"":""W2W7+Q5V"",""city"":""Karachi"",""postal_code"":""75800"",""state"":""Karachi City, Sindh"",""country"":""PK""}",null,null,
318abaa1-01a4-4a9d-b3a6-5fb13a1c4aa7,https://www.google.com/maps/place/KS+DESIGN/data=!4m7!3m6!1s0x3eb33ba6ca921a1b:0x516ba2cb62f1ee6f!8m2!3d24.829099!4d67.1531333!16s%2Fg%2F11pt_38nvs!19sChIJGxqSyqY7sz4Rb-7xYsuia1E?authuser=0&hl=en&rclk=1,KS DESIGN,Industrial design company,"jama masjid diwan salman, Zaman Town Sector 35 C Korangi, Karachi, Karachi City, Sindh","{""Friday"":[""Closed""],""Monday"":[""Open 24 hours""],""Saturday"":[""Open 24 hours""],""Sunday"":[""Open 24 hours""],""Thursday"":[""Open 24 hours""],""Tuesday"":[""Open 24 hours""],""Wednesday"":[""Open 24 hours""]}",{},,0317 0283687,"R5H3+J7 Korangi, Karachi",0,0.000000,"{""1"":0,""2"":0,""3"":0,""4"":0,""5"":0}",24.829099,67.153133,5866961934002286191,Open 24 hours,,,https://lh5.googleusercontent.com/p/AF1QipPha2nKqPB720OItoluMRTMQ47GhZi9RZfBaz1g=w426-h240-k-no,Asia/Karachi,,0x3eb33ba6ca921a1b:0x516ba2cb62f1ee6f,"[{""title"":""All"",""image"":""https://lh5.googleusercontent.com/p/AF1QipPha2nKqPB720OItoluMRTMQ47GhZi9RZfBaz1g=w529-h298-k-no""},{""title"":""By owner"",""image"":""https://lh5.googleusercontent.com/p/AF1QipOvcpxGrlydi6skDUHRyrGlhljn-fA1_3xapMD6=w529-h298-k-no""},{""title"":""Videos"",""image"":""https://lh5.googleusercontent.com/p/AF1QipMTR5hrxKZbSSaM2GmSYxJOLvleo-grtTNhcbVP=w224-h398-k-no""}]",null,"[{""link"":""https://www.facebook.com/mere.baap.35912"",""source"":""facebook.com""}]","{""link"":"""",""source"":""""}","{""id"":""100526342704004446406"",""name"":""KS DESIGN (Owner)"",""link"":""https://www.google.com/maps/contrib/100526342704004446406""}","{""borough"":""Zaman Town Sector 35 C Korangi"",""street"":""jama masjid diwan salman"",""city"":""Karachi"",""postal_code"":"""",""state"":""Karachi City, Sindh"",""country"":""PK""}","[{""id"":""service_options"",""name"":""Service options"",""options"":[{""name"":""Online appointments"",""enabled"":true},{""name"":""On-site services"",""enabled"":true}]},{""id"":""planning"",""name"":""Planning"",""options"":[{""name"":""Appointment required"",""enabled"":true}]}]",null,
318abaa1-01a4-4a9d-b3a6-5fb13a1c4aa7,https://www.google.com/maps/place/SignAxes+%28Pvt.%29+Ltd./data=!4m7!3m6!1s0x3eb33fb6ef756ca5:0x74fdfe1bbff4fc4!8m2!3d24.8563711!4d67.0697305!16s%2Fg%2F11k3vhh7yq!19sChIJpWx177Y_sz4RxE__u-HfTwc?authuser=0&hl=en&rclk=1,SignAxes (Pvt.) Ltd.,Industrial design company,"66/1 M-6, Block 6 P.E.C.H.S., Karachi, Karachi City, Sindh 75400","{""Friday"":[""9 am–5 pm""],""Monday"":[""9 am–5 pm""],""Saturday"":[""9 am–5 pm""],""Sunday"":[""Closed""],""Thursday"":[""9 am–5 pm""],""Tuesday"":[""9 am–5 pm""],""Wednesday"":[""9 am–5 pm""]}",{},http://www.signaxes.com/,(021) 34314895,"V349+GV PECHS, Karachi",8,4.900000,"{""1"":0,""2"":0,""3"":0,""4"":1,""5"":7}",24.856371,67.069730,526885842040344516,Open ⋅ Closes 5 pm,,https://search.google.com/local/reviews?placeid=ChIJpWx177Y_sz4RxE__u-HfTwc&q=SignAxes+(Pvt.)+Ltd.&authuser=0&hl=en&gl=PK,,Asia/Karachi,,0x3eb33fb6ef756ca5:0x74fdfe1bbff4fc4,[],null,null,"{""link"":"""",""source"":""""}","{""id"":""104951024703396593705"",""name"":""SignAxes (Pvt.) Ltd. (Owner)"",""link"":""https://www.google.com/maps/contrib/104951024703396593705""}","{""borough"":""Block 6 P.E.C.H.S."",""street"":""66/1 M-6"",""city"":""Karachi"",""postal_code"":""75400"",""state"":""Karachi City, Sindh"",""country"":""PK""}",null,null,"info@signaxes.com, lahore@signaxes.com"
318abaa1-01a4-4a9d-b3a6-5fb13a1c4aa7,https://www.google.com/maps/place/Morawala+Engineering+Co/data=!4m7!3m6!1s0x3eb331757e6ca209:0x73dd941cf5dbf4e!8m2!3d24.8014604!4d67.2011534!16s%2Fg%2F11gy677j0y!19sChIJCaJsfnUxsz4RTr9dz0HZPQc?authuser=0&hl=en&rclk=1,Morawala Engineering Co,Industrial design company,"R622+HFJ Morawala Engineering Co, Ibrahim Hyderi, Karachi, Karachi City, Sindh",{},{},https://www.facebook.com/Morawala-Egieering-Co-235169423813618/?modal=suggested_action&notif_id=1546545197296858&notif_t=page_user_activity&ref=notif,0300 8204397,,1,5.000000,"{""1"":0,""2"":0,""3"":0,""4"":0,""5"":1}",24.801460,67.201153,521812008519974734,,,https://search.google.com/local/reviews?placeid=ChIJCaJsfnUxsz4RTr9dz0HZPQc&q=Morawala+Engineering+Co&authuser=0&hl=en&gl=PK,,Asia/Karachi,,0x3eb331757e6ca209:0x73dd941cf5dbf4e,[],null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":""Morawala Engineering Co (Owner)"",""link"":""""}","{""borough"":""Ibrahim Hyderi"",""street"":""R622+HFJ"",""city"":""Karachi"",""postal_code"":"""",""state"":""Karachi City, Sindh"",""country"":""PK""}",null,null,
318abaa1-01a4-4a9d-b3a6-5fb13a1c4aa7,https://www.google.com/maps/place/Fashion+Boutique/data=!4m7!3m6!1s0x3eb33f75f84fe967:0x27652210901c6bba!8m2!3d24.8715073!4d67.0607882!16s%2Fg%2F11t_z1vnfq!19sChIJZ-lP-HU_sz4RumsckBAiZSc?authuser=0&hl=en&rclk=1,Fashion Boutique,Industrial design company,"Kurta Gali Tariq Road, Street No.7, Karachi, 75400","{""Friday"":[""11 am–10 pm""],""Monday"":[""11 am–10:30 pm""],""Saturday"":[""11 am–10 pm""],""Sunday"":[""Closed""],""Thursday"":[""11 am–10 pm""],""Tuesday"":[""11 am–10 pm""],""Wednesday"":[""11 am–10 pm""]}",{},,0314 2143216,"V3C6+J8 PECHS, Karachi",0,0.000000,"{""1"":0,""2"":0,""3"":0,""4"":0,""5"":0}",24.871507,67.060788,2838712594659568570,Open ⋅ Closes 10 pm,,,,Asia/Karachi,,0x3eb33f75f84fe967:0x27652210901c6bba,[],null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":""Fashion Boutique (Owner)"",""link"":""""}","{""borough"":""Block 2 PECHS"",""street"":""Kurta Gali Tariq Road, Street No.7"",""city"":""Karachi"",""postal_code"":""75400"",""state"":""Karachi City, Sindh"",""country"":""PK""}",null,null,
318abaa1-01a4-4a9d-b3a6-5fb13a1c4aa7,https://www.google.com/maps/place/JynkoTech+%28Induatrial+Automation+and+3D+Printing%29/data=!4m7!3m6!1s0x3eb36bd72eeb572b:0xfdc019820763c4f1!8m2!3d24.8986249!4d66.9956877!16s%2Fg%2F11tmjfnkgv!19sChIJK1frLtdrsz4R8cRjB4IZwP0?authuser=0&hl=en&rclk=1,JynkoTech (Induatrial Automation and 3D Printing),3D printing service,"Dhedhi Business Avenue, Karachi, Metroville Sindh Industrial Trading Estate, Karachi, Karachi City, Sindh","{""Friday"":[""9 am–5 pm""],""Monday"":[""9 am–5 pm""],""Saturday"":[""9 am–5 pm""],""Sunday"":[""Closed""],""Thursday"":[""9 am–5 pm""],""Tuesday"":[""9 am–5 pm""],""Wednesday"":[""9 am–5 pm""]}",{},http://www.jynkotech.com/,0310 2666922,"VXXW+C7 Sindh Industrial Trading Estate, Karachi",9,4.900000,"{""1"":0,""2"":0,""3"":0,""4"":1,""5"":8}",24.898625,66.995688,18284642533384635633,Open ⋅ Closes 5 pm,,https://search.google.com/local/reviews?placeid=ChIJK1frLtdrsz4R8cRjB4IZwP0&q=JynkoTech+(Induatrial+Automation+and+3D+Printing)&authuser=0&hl=en&gl=PK,https://lh5.googleusercontent.com/p/AF1QipP_E8Ji6bPeHkp3Rs_2rqHB7I5DbrlJetbcEK5q=w408-h272-k-no,Asia/Karachi,,0x3eb36bd72eeb572b:0xfdc019820763c4f1,"[{""title"":""All"",""image"":""https://lh5.googleusercontent.com/p/AF1QipP_E8Ji6bPeHkp3Rs_2rqHB7I5DbrlJetbcEK5q=w447-h298-k-no""},{""title"":""Latest"",""image"":""https://lh5.googleusercontent.com/p/AF1QipM_1ic-qOTojTF1Jp5Ah3uGIKVfUfOhLmVggLCZ=w224-h403-k-no""},{""title"":""Videos"",""image"":""https://lh5.googleusercontent.com/p/AF1QipOzPHLAsFaskjiKx-49joZpMKRCT1gfKyhsCL_2=w298-h298-k-no""},{""title"":""By owner"",""image"":""https://lh5.googleusercontent.com/p/AF1QipOJvgr1yw5Dgl7ylZwL_3CQanLti_qPGxKgivDm=w224-h398-k-no""}]",null,null,"{""link"":"""",""source"":""""}","{""id"":""114469138720755608633"",""name"":""JynkoTech (Induatrial Automation and 3D Printing) (Owner)"",""link"":""https://www.google.com/maps/contrib/114469138720755608633""}","{""borough"":""Metroville Sindh Industrial Trading Estate"",""street"":""Dhedhi Business Avenue, Karachi"",""city"":""Karachi"",""postal_code"":"""",""state"":""Karachi City, Sindh"",""country"":""PK""}",null,null,jynkotech@gmail.com
318abaa1-01a4-4a9d-b3a6-5fb13a1c4aa7,https://www.google.com/maps/place/Automation+Engineering/data=!4m7!3m6!1s0x3eb341f000fc03bb:0xd208d3eb7fe5001a!8m2!3d24.9571187!4d67.0761386!16s%2Fg%2F11fkr3h3w_!19sChIJuwP8APBBsz4RGgDlf-vTCNI?authuser=0&hl=en&rclk=1,Automation Engineering,Industrial design company,"X34G+RFR Automation Engineering, راشد منہاس روڈ،, Al Noor Society Block 19 Gulberg Town, Karachi, Karachi City, Sindh","{""Friday"":[""Open 24 hours""],""Monday"":[""Open 24 hours""],""Saturday"":[""Open 24 hours""],""Sunday"":[""Open 24 hours""],""Thursday"":[""Open 24 hours""],""Tuesday"":[""Open 24 hours""],""Wednesday"":[""Open 24 hours""]}",{},http://www.multipec.com.pk/,0315 3641762,,1,5.000000,"{""1"":0,""2"":0,""3"":0,""4"":0,""5"":1}",24.957119,67.076139,15134579556195041306,Open 24 hours,,https://search.google.com/local/reviews?placeid=ChIJuwP8APBBsz4RGgDlf-vTCNI&q=Automation+Engineering&authuser=0&hl=en&gl=PK,,Asia/Karachi,,0x3eb341f000fc03bb:0xd208d3eb7fe5001a,[],null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":""Automation Engineering (Owner)"",""link"":""""}","{""borough"":""Al Noor Society Block 19 Gulberg Town"",""street"":""X34G+RFR, راشد منہاس روڈ،"",""city"":""Karachi"",""postal_code"":"""",""state"":""Karachi City, Sindh"",""country"":""PK""}",null,null,info@multipec.com.pk
